location_id,location_name,display_status,curation_action,category,priority,issue_type,field_name,current_value,new_value,source_url,reviewer_status,reviewer_note
LOC-213,Taman Cibeunying,active_candidate,keep,Taman Kota,MEDIUM,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-220,Nimo Jungle Hot Spring,active_candidate,keep,Wisata Alam,MEDIUM,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-220,Nimo Jungle Hot Spring,active_candidate,keep,Wisata Alam,MEDIUM,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-226,Gunung Nini Pangalengan,active_candidate,keep,Wisata Alam,MEDIUM,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-226,Gunung Nini Pangalengan,active_candidate,keep,Wisata Alam,MEDIUM,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-234,Perkebunan Teh Rancabali,active_candidate,keep,Rekreasi Alam,MEDIUM,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-234,Perkebunan Teh Rancabali,active_candidate,keep,Rekreasi Alam,MEDIUM,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-004,Alun-Alun Sumedang,exclude_scope,remove,Taman Kota,LOW,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-004,Alun-Alun Sumedang,exclude_scope,remove,Taman Kota,LOW,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-037,Gn. Tampomas,exclude_scope,remove,Rekreasi Keluarga,LOW,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-037,Gn. Tampomas,exclude_scope,remove,Rekreasi Keluarga,LOW,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-159,Penangkaran Rusa Kertamanah,status_uncertain,needs_review,Wisata Satwa,LOW,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-159,Penangkaran Rusa Kertamanah,status_uncertain,needs_review,Wisata Satwa,LOW,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-229,Puncak Damar Jatigede,exclude_scope,remove,Wisata Alam,LOW,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-229,Puncak Damar Jatigede,exclude_scope,remove,Wisata Alam,LOW,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
LOC-233,Kampung Wisata Pangjugjugan,exclude_scope,remove,Rekreasi Alam,LOW,missing_value,avg_rating,,,,todo,Isi nilai baru jika data terpercaya sudah ditemukan.
LOC-233,Kampung Wisata Pangjugjugan,exclude_scope,remove,Rekreasi Alam,LOW,sentiment_unavailable,sentiment_available,False,,,todo,Sentiment belum tersedia; isi hanya jika ada pipeline sentiment/review baru yang valid.
