location_id,location_name,display_status,curation_action,category,priority,current_media_available,suggested_raw_title,suggested_match_score,suggested_match_method,audit_note,google_search_url,google_maps_search_url,google_image_search_url,new_media_image_url,new_media_destination_url,new_media_website,new_media_source_note,reviewer_status,reviewer_note
LOC-222,Nuansa Riung Gunung,active_candidate,keep,Wisata Alam,HIGH,False,Nuansa Riung gunung Pangalengan,0.76,missing,No reliable media match.,https://www.google.com/search?q=Nuansa+Riung+Gunung+Bandung+wisata,https://www.google.com/maps/search/Nuansa+Riung+Gunung+Bandung,https://www.google.com/search?tbm=isch&q=Nuansa+Riung+Gunung+Bandung+wisata,,,,,todo,
LOC-193,Sanghyang Poek,active_candidate,keep,Wisata Alam,HIGH,False,Sanghyang Kenit,0.7586,missing,No reliable media match.,https://www.google.com/search?q=Sanghyang+Poek+Bandung+wisata,https://www.google.com/maps/search/Sanghyang+Poek+Bandung,https://www.google.com/search?tbm=isch&q=Sanghyang+Poek+Bandung+wisata,,,,,todo,
LOC-198,Tebing Gunung Hawu,active_candidate,keep,Wisata Alam,HIGH,False,Gunung Hawu,0.7586,missing,No reliable media match.,https://www.google.com/search?q=Tebing+Gunung+Hawu+Bandung+wisata,https://www.google.com/maps/search/Tebing+Gunung+Hawu+Bandung,https://www.google.com/search?tbm=isch&q=Tebing+Gunung+Hawu+Bandung+wisata,,,,,todo,
LOC-183,Imah Seniman Lembang,active_candidate,keep,Penginapan Wisata,HIGH,False,MiniMania Lembang,0.7568,missing,No reliable media match.,https://www.google.com/search?q=Imah+Seniman+Lembang+Bandung+wisata,https://www.google.com/maps/search/Imah+Seniman+Lembang+Bandung,https://www.google.com/search?tbm=isch&q=Imah+Seniman+Lembang+Bandung+wisata,,,,,todo,
LOC-186,Indiana Camp Lembang,active_candidate,keep,Tempat Camping,HIGH,False,Indiana Camp,0.75,missing,No reliable media match.,https://www.google.com/search?q=Indiana+Camp+Lembang+Bandung+wisata,https://www.google.com/maps/search/Indiana+Camp+Lembang+Bandung,https://www.google.com/search?tbm=isch&q=Indiana+Camp+Lembang+Bandung+wisata,,,,,todo,
LOC-201,Curug Batu Templek,active_candidate,keep,Wisata Alam,HIGH,False,CURUG BATU TEMPLEK CISANGGARUNG,0.7347,missing,No reliable media match.,https://www.google.com/search?q=Curug+Batu+Templek+Bandung+wisata,https://www.google.com/maps/search/Curug+Batu+Templek+Bandung,https://www.google.com/search?tbm=isch&q=Curug+Batu+Templek+Bandung+wisata,,,,,todo,
LOC-120,Rumah Guguk,active_candidate,keep,Wisata Satwa,HIGH,False,Rumah Guguk Petshop,0.7333,missing,No reliable media match.,https://www.google.com/search?q=Rumah+Guguk+Bandung+wisata,https://www.google.com/maps/search/Rumah+Guguk+Bandung,https://www.google.com/search?tbm=isch&q=Rumah+Guguk+Bandung+wisata,,,,,todo,
LOC-225,Curug Ceret Pangalengan,active_candidate,keep,Wisata Alam,HIGH,False,Curug Ceret (Naringgul),0.7273,missing,No reliable media match.,https://www.google.com/search?q=Curug+Ceret+Pangalengan+Bandung+wisata,https://www.google.com/maps/search/Curug+Ceret+Pangalengan+Bandung,https://www.google.com/search?tbm=isch&q=Curug+Ceret+Pangalengan+Bandung+wisata,,,,,todo,
LOC-226,Gunung Nini Pangalengan,active_candidate,keep,Wisata Alam,HIGH,False,Wayang Windu Pangalengan,0.7234,missing,No reliable media match.,https://www.google.com/search?q=Gunung+Nini+Pangalengan+Bandung+wisata,https://www.google.com/maps/search/Gunung+Nini+Pangalengan+Bandung,https://www.google.com/search?tbm=isch&q=Gunung+Nini+Pangalengan+Bandung+wisata,,,,,todo,
LOC-181,Noah's Park Lembang,active_candidate,keep,Rekreasi Keluarga,HIGH,False,Noah's Park | Wisata Lembang Bandung,0.717,missing,No reliable media match.,https://www.google.com/search?q=Noah%27s+Park+Lembang+Bandung+wisata,https://www.google.com/maps/search/Noah%27s+Park+Lembang+Bandung,https://www.google.com/search?tbm=isch&q=Noah%27s+Park+Lembang+Bandung+wisata,,,,,todo,
LOC-148,Pesona Nirwana Waterpark,active_candidate,keep,Wahana Air,HIGH,False,Pesona Nirwana Waterpark & Cottages / Resort,0.7059,missing,No reliable media match.,https://www.google.com/search?q=Pesona+Nirwana+Waterpark+Bandung+wisata,https://www.google.com/maps/search/Pesona+Nirwana+Waterpark+Bandung,https://www.google.com/search?tbm=isch&q=Pesona+Nirwana+Waterpark+Bandung+wisata,,,,,todo,
LOC-149,Taman Wisata Alam Cimanggu,active_candidate,keep,Wisata Alam,HIGH,False,Taman EcoWisata Cimenteng,0.7059,missing,No reliable media match.,https://www.google.com/search?q=Taman+Wisata+Alam+Cimanggu+Bandung+wisata,https://www.google.com/maps/search/Taman+Wisata+Alam+Cimanggu+Bandung,https://www.google.com/search?tbm=isch&q=Taman+Wisata+Alam+Cimanggu+Bandung+wisata,,,,,todo,
LOC-016,Chinatown Bandung,active_candidate,keep,Tempat Budaya,HIGH,False,Kebun Binatang Bandung,0.6667,missing,No reliable media match.,https://www.google.com/search?q=Chinatown+Bandung+Bandung+wisata,https://www.google.com/maps/search/Chinatown+Bandung+Bandung,https://www.google.com/search?tbm=isch&q=Chinatown+Bandung+Bandung+wisata,,,,,todo,
LOC-139,Kawah Rengganis Ciwidey,active_candidate,keep,Wisata Alam,HIGH,False,KAWAH CIBUNI Rengganis,0.6667,missing,No reliable media match.,https://www.google.com/search?q=Kawah+Rengganis+Ciwidey+Bandung+wisata,https://www.google.com/maps/search/Kawah+Rengganis+Ciwidey+Bandung,https://www.google.com/search?tbm=isch&q=Kawah+Rengganis+Ciwidey+Bandung+wisata,,,,,todo,
LOC-178,De'Ranch Lembang,active_candidate,keep,Wisata Satwa,HIGH,False,De' Ranch,0.6667,missing,No reliable media match.,https://www.google.com/search?q=De%27Ranch+Lembang+Bandung+wisata,https://www.google.com/maps/search/De%27Ranch+Lembang+Bandung,https://www.google.com/search?tbm=isch&q=De%27Ranch+Lembang+Bandung+wisata,,,,,todo,
LOC-213,Taman Cibeunying,active_candidate,keep,Taman Kota,HIGH,False,Taman Endog,0.6667,missing,No reliable media match.,https://www.google.com/search?q=Taman+Cibeunying+Bandung+wisata,https://www.google.com/maps/search/Taman+Cibeunying+Bandung,https://www.google.com/search?tbm=isch&q=Taman+Cibeunying+Bandung+wisata,,,,,todo,
LOC-224,Sungai Palayangan Rafting,active_candidate,keep,Wisata Petualangan,HIGH,False,Palayangan River,0.6341,missing,No reliable media match.,https://www.google.com/search?q=Sungai+Palayangan+Rafting+Bandung+wisata,https://www.google.com/maps/search/Sungai+Palayangan+Rafting+Bandung,https://www.google.com/search?tbm=isch&q=Sungai+Palayangan+Rafting+Bandung+wisata,,,,,todo,
LOC-173,Cakrawala Nature Sparkling Restaurant,active_candidate,keep,Tempat Kuliner,HIGH,False,MARIBAYA Natural Hotspring Resort,0.6286,missing,No reliable media match.,https://www.google.com/search?q=Cakrawala+Nature+Sparkling+Restaurant+Bandung+wisata,https://www.google.com/maps/search/Cakrawala+Nature+Sparkling+Restaurant+Bandung,https://www.google.com/search?tbm=isch&q=Cakrawala+Nature+Sparkling+Restaurant+Bandung+wisata,,,,,todo,
LOC-192,Curug Ngebul Gununghalu,active_candidate,keep,Wisata Alam,HIGH,False,Curug Bugbrug,0.6111,missing,No reliable media match.,https://www.google.com/search?q=Curug+Ngebul+Gununghalu+Bandung+wisata,https://www.google.com/maps/search/Curug+Ngebul+Gununghalu+Bandung,https://www.google.com/search?tbm=isch&q=Curug+Ngebul+Gununghalu+Bandung+wisata,,,,,todo,
LOC-134,Bukit Bintang Bandung (Patahan Lembang),active_candidate,keep,Wisata Alam,HIGH,False,Kebun Binatang Bandung,0.6102,missing,No reliable media match.,https://www.google.com/search?q=Bukit+Bintang+Bandung+%28Patahan+Lembang%29+Bandung+wisata,https://www.google.com/maps/search/Bukit+Bintang+Bandung+%28Patahan+Lembang%29+Bandung,https://www.google.com/search?tbm=isch&q=Bukit+Bintang+Bandung+%28Patahan+Lembang%29+Bandung+wisata,,,,,todo,
LOC-219,Museum Inggit Garnasih,active_candidate,keep,Tempat Belajar,HIGH,False,Museum Barli,0.5882,missing,No reliable media match.,https://www.google.com/search?q=Museum+Inggit+Garnasih+Bandung+wisata,https://www.google.com/maps/search/Museum+Inggit+Garnasih+Bandung,https://www.google.com/search?tbm=isch&q=Museum+Inggit+Garnasih+Bandung+wisata,,,,,todo,
LOC-180,Cimory Dairyland Lembang,active_candidate,keep,Wisata Satwa,HIGH,False,MiniMania Lembang,0.5854,missing,No reliable media match.,https://www.google.com/search?q=Cimory+Dairyland+Lembang+Bandung+wisata,https://www.google.com/maps/search/Cimory+Dairyland+Lembang+Bandung,https://www.google.com/search?tbm=isch&q=Cimory+Dairyland+Lembang+Bandung+wisata,,,,,todo,
LOC-008,Bandung Science Center,active_candidate,keep,Tempat Belajar,HIGH,False,Science Centre Soreang (SCS),0.5833,missing,No reliable media match.,https://www.google.com/search?q=Bandung+Science+Center+Bandung+wisata,https://www.google.com/maps/search/Bandung+Science+Center+Bandung,https://www.google.com/search?tbm=isch&q=Bandung+Science+Center+Bandung+wisata,,,,,todo,
LOC-133,Punclut Bandung (Puncak Ciumbuleuit),active_candidate,keep,Wisata Alam,HIGH,False,Punclut Puncak,0.5833,missing,No reliable media match.,https://www.google.com/search?q=Punclut+Bandung+%28Puncak+Ciumbuleuit%29+Bandung+wisata,https://www.google.com/maps/search/Punclut+Bandung+%28Puncak+Ciumbuleuit%29+Bandung,https://www.google.com/search?tbm=isch&q=Punclut+Bandung+%28Puncak+Ciumbuleuit%29+Bandung+wisata,,,,,todo,
LOC-162,Rumah Putih Cukul,active_candidate,keep,Rekreasi Keluarga,HIGH,False,Kawah Putih,0.5714,missing,No reliable media match.,https://www.google.com/search?q=Rumah+Putih+Cukul+Bandung+wisata,https://www.google.com/maps/search/Rumah+Putih+Cukul+Bandung,https://www.google.com/search?tbm=isch&q=Rumah+Putih+Cukul+Bandung+wisata,,,,,todo,
LOC-164,Java Preanger Gunung Tilu,active_candidate,keep,Wisata Alam,HIGH,False,Coffee House Gunung Tilu,0.5714,missing,No reliable media match.,https://www.google.com/search?q=Java+Preanger+Gunung+Tilu+Bandung+wisata,https://www.google.com/maps/search/Java+Preanger+Gunung+Tilu+Bandung,https://www.google.com/search?tbm=isch&q=Java+Preanger+Gunung+Tilu+Bandung+wisata,,,,,todo,
LOC-217,Karang Setra Waterland,active_candidate,keep,Wahana Air,HIGH,False,LEMBANG Wonderland,0.55,missing,No reliable media match.,https://www.google.com/search?q=Karang+Setra+Waterland+Bandung+wisata,https://www.google.com/maps/search/Karang+Setra+Waterland+Bandung,https://www.google.com/search?tbm=isch&q=Karang+Setra+Waterland+Bandung+wisata,,,,,todo,
LOC-121,NuArt Sculpture Park,active_candidate,keep,Tempat Seni,HIGH,False,Nu Art Studio,0.5455,missing,No reliable media match.,https://www.google.com/search?q=NuArt+Sculpture+Park+Bandung+wisata,https://www.google.com/maps/search/NuArt+Sculpture+Park+Bandung,https://www.google.com/search?tbm=isch&q=NuArt+Sculpture+Park+Bandung+wisata,,,,,todo,
LOC-158,Situ Ninah (Situ Datar),active_candidate,keep,Wisata Alam,HIGH,False,Situ Datar Buana,0.5405,missing,No reliable media match.,https://www.google.com/search?q=Situ+Ninah+%28Situ+Datar%29+Bandung+wisata,https://www.google.com/maps/search/Situ+Ninah+%28Situ+Datar%29+Bandung,https://www.google.com/search?tbm=isch&q=Situ+Ninah+%28Situ+Datar%29+Bandung+wisata,,,,,todo,
LOC-017,Cihampelas Walk,active_candidate,keep,Tempat Belanja,HIGH,False,Taman Maluku,0.5185,missing,No reliable media match.,https://www.google.com/search?q=Cihampelas+Walk+Bandung+wisata,https://www.google.com/maps/search/Cihampelas+Walk+Bandung,https://www.google.com/search?tbm=isch&q=Cihampelas+Walk+Bandung+wisata,,,,,todo,
LOC-220,Nimo Jungle Hot Spring,active_candidate,keep,Wisata Alam,HIGH,False,Kampung Singkur,0.4865,missing,No reliable media match.,https://www.google.com/search?q=Nimo+Jungle+Hot+Spring+Bandung+wisata,https://www.google.com/maps/search/Nimo+Jungle+Hot+Spring+Bandung,https://www.google.com/search?tbm=isch&q=Nimo+Jungle+Hot+Spring+Bandung+wisata,,,,,todo,
LOC-174,Lereng Anteng Panoramic Coffee,active_candidate,keep,Tempat Kuliner,HIGH,False,Perkebunan Teh RANCABALI,0.4815,missing,No reliable media match.,https://www.google.com/search?q=Lereng+Anteng+Panoramic+Coffee+Bandung+wisata,https://www.google.com/maps/search/Lereng+Anteng+Panoramic+Coffee+Bandung,https://www.google.com/search?tbm=isch&q=Lereng+Anteng+Panoramic+Coffee+Bandung+wisata,,,,,todo,
LOC-195,Sungai Cikahuripan Green Canyon Saguling,active_candidate,keep,Wisata Alam,HIGH,False,Kampung Karuhun ECO Green Park Sumedang,0.481,missing,No reliable media match.,https://www.google.com/search?q=Sungai+Cikahuripan+Green+Canyon+Saguling+Bandung+wisata,https://www.google.com/maps/search/Sungai+Cikahuripan+Green+Canyon+Saguling+Bandung,https://www.google.com/search?tbm=isch&q=Sungai+Cikahuripan+Green+Canyon+Saguling+Bandung+wisata,,,,,todo,
LOC-135,Taman Main Mili-Mili & Hutan Mycelia,active_candidate,keep,Rekreasi Keluarga,HIGH,False,Taman Hutan Raya Ir. H. Djuanda,0.4478,missing,No reliable media match.,https://www.google.com/search?q=Taman+Main+Mili-Mili+%26+Hutan+Mycelia+Bandung+wisata,https://www.google.com/maps/search/Taman+Main+Mili-Mili+%26+Hutan+Mycelia+Bandung,https://www.google.com/search?tbm=isch&q=Taman+Main+Mili-Mili+%26+Hutan+Mycelia+Bandung+wisata,,,,,todo,
LOC-037,Gn. Tampomas,exclude_scope,remove,Rekreasi Keluarga,LOW,False,Jl. Gn. Tampomas,0.88,manual_reject,"Road result, not destination-level media.",https://www.google.com/search?q=Gn.+Tampomas+Bandung+wisata,https://www.google.com/maps/search/Gn.+Tampomas+Bandung,https://www.google.com/search?tbm=isch&q=Gn.+Tampomas+Bandung+wisata,,,,,todo,
LOC-159,Penangkaran Rusa Kertamanah,status_uncertain,needs_review,Wisata Satwa,LOW,False,Penangkaran Rusa Ranca Upas,0.7778,missing,No reliable media match.,https://www.google.com/search?q=Penangkaran+Rusa+Kertamanah+Bandung+wisata,https://www.google.com/maps/search/Penangkaran+Rusa+Kertamanah+Bandung,https://www.google.com/search?tbm=isch&q=Penangkaran+Rusa+Kertamanah+Bandung+wisata,,,,,todo,
LOC-199,Taman Buru Gunung Masigit Kareumbi,exclude_scope,remove,Taman Kota,LOW,False,Kawasan Konservasi Taman Buru G. Masigit Kareumbi,0.7073,missing,No reliable media match.,https://www.google.com/search?q=Taman+Buru+Gunung+Masigit+Kareumbi+Bandung+wisata,https://www.google.com/maps/search/Taman+Buru+Gunung+Masigit+Kareumbi+Bandung,https://www.google.com/search?tbm=isch&q=Taman+Buru+Gunung+Masigit+Kareumbi+Bandung+wisata,,,,,todo,
LOC-230,Desa Wisata Buricak Burinong,exclude_scope,remove,Desa Wisata,LOW,False,Kampung Buricak Burinong,0.6923,missing,No reliable media match.,https://www.google.com/search?q=Desa+Wisata+Buricak+Burinong+Bandung+wisata,https://www.google.com/maps/search/Desa+Wisata+Buricak+Burinong+Bandung,https://www.google.com/search?tbm=isch&q=Desa+Wisata+Buricak+Burinong+Bandung+wisata,,,,,todo,
LOC-232,Pangjugjugan Sumedang,exclude_scope,remove,Rekreasi Keluarga,LOW,False,Cadas Pangeran Sumedang,0.6818,missing,No reliable media match.,https://www.google.com/search?q=Pangjugjugan+Sumedang+Bandung+wisata,https://www.google.com/maps/search/Pangjugjugan+Sumedang+Bandung,https://www.google.com/search?tbm=isch&q=Pangjugjugan+Sumedang+Bandung+wisata,,,,,todo,
LOC-004,Alun-Alun Sumedang,exclude_scope,remove,Taman Kota,LOW,False,Alun-Alun,0.6667,missing,No reliable media match.,https://www.google.com/search?q=Alun-Alun+Sumedang+Bandung+wisata,https://www.google.com/maps/search/Alun-Alun+Sumedang+Bandung,https://www.google.com/search?tbm=isch&q=Alun-Alun+Sumedang+Bandung+wisata,,,,,todo,
LOC-043,Happyfarm Ciwidey,status_uncertain,needs_review,Wisata Satwa,LOW,False,Ranca Upas Ciwidey,0.6286,missing,No reliable media match.,https://www.google.com/search?q=Happyfarm+Ciwidey+Bandung+wisata,https://www.google.com/maps/search/Happyfarm+Ciwidey+Bandung,https://www.google.com/search?tbm=isch&q=Happyfarm+Ciwidey+Bandung+wisata,,,,,todo,
LOC-229,Puncak Damar Jatigede,exclude_scope,remove,Wisata Alam,LOW,False,Bendungan Jatigede,0.6154,missing,No reliable media match.,https://www.google.com/search?q=Puncak+Damar+Jatigede+Bandung+wisata,https://www.google.com/maps/search/Puncak+Damar+Jatigede+Bandung,https://www.google.com/search?tbm=isch&q=Puncak+Damar+Jatigede+Bandung+wisata,,,,,todo,
LOC-049,Kampung Toga Villa & Resto,exclude_scope,remove,Tempat Kuliner,LOW,False,Kampung Cireundeu,0.5333,missing,No reliable media match.,https://www.google.com/search?q=Kampung+Toga+Villa+%26+Resto+Bandung+wisata,https://www.google.com/maps/search/Kampung+Toga+Villa+%26+Resto+Bandung,https://www.google.com/search?tbm=isch&q=Kampung+Toga+Villa+%26+Resto+Bandung+wisata,,,,,todo,
