id,scenario,query,payload_categories,sort_by,user_lat,user_lon,max_distance_km,expected_intents,required_any_category,required_any_label,required_all_labels,forbidden_any_category,forbidden_any_label,expect_no_strong_match,expect_min_results,expected_landmark,required_shopping_subtype,required_flags,required_crowd_level,required_price_type,realworld_note
GT011,Culture / History / Education,tempat sejarah di Bandung,,,,,,Sejarah,Tempat Sejarah|Tempat Budaya|Tempat Belajar,Sejarah|Edukasi,,Tempat Kuliner,Kuliner,false,3,,,,,,Historical query should prefer heritage buildings museums or monuments
GT012,Culture / History / Education,wisata budaya di Bandung,,,,,,Budaya,Tempat Budaya|Tempat Seni|Desa Wisata|Tempat Sejarah,Budaya|Sejarah|Edukasi,,Tempat Belanja,Belanja,false,3,,,,,,Culture query should prefer cultural art or heritage destinations
GT013,Culture / History / Education,museum edukatif,,,,,,Edukasi,Tempat Belajar|Tempat Sejarah|Tempat Budaya,Edukasi|Sejarah|Budaya,,Tempat Kuliner,Kuliner,false,3,,,,,,Museum query should return museums or educational heritage places
GT014,Culture / History / Education,tempat belajar sejarah,,,,,,Sejarah|Edukasi,Tempat Sejarah|Tempat Belajar|Tempat Budaya,Sejarah|Edukasi,,Tempat Kuliner,Kuliner,false,3,,,,,,Learning history query should combine education and historical relevance
GT015,Culture / History / Education,wisata edukasi indoor,,,,,,Edukasi|Indoor,Tempat Belajar|Tempat Sejarah|Tempat Seni,Edukasi|Indoor,,Wisata Alam,Outdoor,false,3,,,,,,Indoor education should prefer museums galleries or learning spaces
GT016,Culinary / Cafe / Hangout,tempat kuliner di Bandung,,,,,,Kuliner,Tempat Kuliner|Rekreasi Keluarga|Tempat Belanja,Kuliner,,Wisata Alam,Alam,false,3,,,,,,Culinary query should prioritize food destinations or food enabled tourism
GT017,Culinary / Cafe / Hangout,tempat nongkrong santai,,,,,,Kuliner|Santai/Healing,Tempat Kuliner|Taman Kota|Tempat Seni|Tempat Belanja,Kuliner|Santai/Healing,,Wisata Alam,Petualangan,false,3,,,,,,Hangout query should prefer cafe culinary or relaxed social places
GT018,Culinary / Cafe / Hangout,cafe dengan suasana bagus,,,,,,Kuliner,Tempat Kuliner|Tempat Seni|Rekreasi Keluarga,Kuliner|Santai/Healing|Spot Foto,,Wisata Alam,,false,3,,,,,,Cafe query should not become pure nature unless venue has culinary relevance
GT019,Culinary / Cafe / Hangout,tempat makan keluarga,,,,,,Keluarga|Kuliner,Tempat Kuliner|Rekreasi Keluarga|Taman Kota,Kuliner|Keluarga|Ramah Anak,,,,false,3,,,,,,Family dining query should favor family recreation with food or food destinations
GT020,Culinary / Cafe / Hangout,tempat kuliner malam,,,,,,Kuliner|Malam,Tempat Kuliner|Tempat Belanja|Taman Kota,Kuliner|Malam|Santai/Healing,,,,false,3,,,,,,Night culinary query must respect night relevance
GT021,Culinary / Cafe / Hangout,tempat alam yang sejuk buat keluarga ada makannya,,,,,,Alam|Keluarga|Kuliner,Rekreasi Keluarga|Tempat Kuliner|Wisata Alam,Alam|Keluarga|Kuliner,,Tempat Belanja,Belanja,false,3,,,,,,Combined nature family food query should not be dominated by pure nature only
GT022,Shopping,mall untuk belanja,,,,,,Belanja,Tempat Belanja,Belanja,,,Alam,false,3,,Mall,,,,Mall query should prefer mall subtype and not generic tourism
GT023,Shopping,tempat belanja di Bandung,,,,,,Belanja,Tempat Belanja,Belanja,,,Alam,false,3,,,,,,Shopping query should return shopping centers or market style destinations
GT024,Shopping,shopping center,,,,,,Belanja,Tempat Belanja,Belanja,,,Alam,false,3,,,,,,English shopping query should map to shopping intent
GT025,Night / Budget,tempat wisata malam di Bandung,,,,,,Malam,Tempat Kuliner|Tempat Belanja|Taman Kota|Wisata Alam|Tempat Seni,Malam|Kuliner|Spot Foto,,,,false,3,,,,,,Night tourism should have plausible night verified context
GT026,Night / Budget,tempat nongkrong jam 8 malam,,,,,,Kuliner|Santai/Healing|Malam,Tempat Kuliner|Tempat Belanja|Taman Kota,Kuliner|Malam|Santai/Healing,,,,false,3,,,,,,Specific evening query should prefer venues open or plausible at night
GT027,Night / Budget,wisata gratis di Bandung,,,,,,Gratis,Wisata Alam|Taman Kota|Tempat Belanja|Tempat Belajar,Gratis|Alam|Belanja,,,,false,3,,,,,Gratis,Free query should avoid paid-only destinations in top results when possible
GT028,Night / Budget,tempat murah untuk keluarga,,,,,,Keluarga,Rekreasi Keluarga|Taman Kota|Tempat Belajar|Wisata Alam,Keluarga|Ramah Anak,,,,false,3,,,,,max_50000,Budget family query should prefer affordable family destinations
GT029,Night / Budget,wisata alam murah,,,,,,Alam,Wisata Alam|Rekreasi Alam|Wisata Petualangan|Tempat Camping,Alam|Outdoor|Gratis,,,,false,3,,,,,max_50000,Cheap nature query should keep nature relevance and price sensitivity
GT030,Night / Budget,wisata di bawah 50000,,,,,,,Wisata Alam|Taman Kota|Rekreasi Keluarga|Tempat Belajar,Alam|Keluarga|Gratis,,,,false,3,,,,,max_50000,Explicit price ceiling should filter out expensive results
GT031,Negative Tests,tempat ski salju di Bandung,,,,,,,,,,,,true,0,,,,,,Bandung Raya has no realistic ski or snow tourism in this dataset
GT032,Negative Tests,pantai di Bandung kota,,,,,,,,,,,,true,0,,,,,,Bandung city is not a beach destination so system should not force results
GT033,Negative Tests,wisata gurun pasir,,,,,,,,,,,,true,0,,,,,,Desert tourism is unsupported for Bandung Raya
GT034,Negative Tests,tempat melihat aurora,,,,,,,,,,,,true,0,,,,,,Aurora is unrealistic for Bandung Raya
GT035,Negative Tests,curug malam di Bandung,,,,,,,,,,,,true,0,,,,,,Night waterfall visit should require strong safety evidence
GT036,Negative Tests,glamping gratis di Bandung,,,,,,,,,,,,true,0,,,,,,Free glamping is not verified and should not be hallucinated
GT037,Specific Guard Tests,factory outlet Bandung,,,,,,Belanja,Tempat Belanja,Belanja,,,,true,0,,Factory Outlet,,,,Factory outlet query should not be replaced by generic malls while data is absent
GT038,Specific Guard Tests,belanja oleh-oleh khas Bandung,,,,,,Belanja,Tempat Belanja,Belanja,,,,true,0,,Oleh-Oleh,,,,Souvenir query should not be replaced by generic malls while data is absent
GT039,Specific Guard Tests,wisata ramah disabilitas,,,,,,,,,,,,true,0,,,wheelchair_accessible_verified,,,Accessibility claims require verified data
GT040,Specific Guard Tests,wisata pet friendly Bandung,,,,,,,,,,,,true,0,,,pet_friendly_verified,,,Pet friendly claims require verified data
GT041,Specific Guard Tests,tempat parkir luas untuk keluarga,,,,,,Keluarga,,,,,,true,0,,,parking_verified,,,Parking spaciousness requires verified data
GT042,Specific Guard Tests,tempat wisata dekat saya,,,,,,,,,,,,true,0,,,,,,Near me query needs user coordinates or landmark
GT043,Location / Distance,wisata keluarga terdekat,,balanced,-6.9147,107.6098,,Keluarga,Rekreasi Keluarga|Taman Kota|Tempat Belajar|Wisata Satwa,Keluarga|Ramah Anak,,,,false,3,,,,,,User location should enable distance metadata and nearby ranking
GT044,Location / Distance,museum terdekat,,balanced,-6.9147,107.6098,,Edukasi,Tempat Belajar|Tempat Sejarah,Edukasi|Sejarah,,,,false,3,,,,,,Nearby museum query should include distance and verified coordinates
GT045,Location / Distance,kuliner terdekat yang buka malam,,balanced,-6.9147,107.6098,,Kuliner|Malam,Tempat Kuliner|Tempat Belanja|Taman Kota,Kuliner|Malam,,,,false,3,,,,,,Nearby night culinary query should combine distance and night relevance
GT046,Location / Distance,wisata gratis dekat saya,,balanced,-6.9147,107.6098,,Gratis,Taman Kota|Tempat Belanja|Tempat Belajar|Wisata Alam,Gratis|Belanja|Alam,,,,false,3,,,,,Gratis,Nearby free query should include distance and free entry tendency
GT047,Location / Distance,alam sejuk terdekat,,balanced,-6.9147,107.6098,,Alam,Wisata Alam|Rekreasi Alam|Taman Kota,Alam|Outdoor|Santai/Healing,,,,false,3,,,,,,Nearby nature query should avoid unverified coordinates
GT048,Location / Distance,museum terdekat radius 5 km,,nearest,-6.9147,107.6098,5,Edukasi,Tempat Belajar|Tempat Sejarah,Edukasi|Sejarah,,,,false,3,,,,,,Radius filter should keep results within 5 km where distance exists
GT049,Location / Distance,museum dekat Gedung Sate,,balanced,,,,Edukasi,Tempat Belajar|Tempat Sejarah,Edukasi|Sejarah,,,,false,3,Gedung Sate,,,,,Landmark should be used as search origin when user location is absent
GT050,Location / Distance,kuliner dekat Alun-Alun Bandung,,balanced,,,,Kuliner,Tempat Kuliner|Rekreasi Keluarga|Taman Kota,Kuliner|Keluarga,,,,false,3,Alun-Alun Bandung,,,,,Landmark culinary query should not ignore Alun-Alun Bandung context
GT051,Location / Distance,wisata dekat Stasiun Bandung,,balanced,,,,,Taman Kota|Tempat Belanja|Tempat Sejarah|Tempat Belajar,Alam|Keluarga|Gratis,,,,false,3,Stasiun Bandung,,,,,Broad landmark query should return nearby valid tourism places
GT052,Attribute Filters,Indoor,Indoor,,,,,,,,Indoor,,,false,3,,,,,,Manual Indoor category should require indoor label in top results
GT053,Attribute Filters,Outdoor,Outdoor,,,,,,,,Outdoor,,,false,3,,,,,,Manual Outdoor category should require outdoor label in top results
GT054,Attribute Filters,Ramah Anak,Ramah Anak,,,,,,,,Ramah Anak,,,false,3,,,,,,Manual Ramah Anak category should require child friendly label in top results
GT055,Attribute Filters,Malam,Malam,,,,,,,,Malam,,,false,3,,,,,,Manual Malam category should require night label in top results
GT056,Attribute Filters,Gratis,Gratis,,,,,,,,,,,false,3,,,,,Gratis,Manual Gratis category should return free entry top results
GT057,Attribute Filters,wisata ramah anak indoor,,,,,,Ramah Anak|Indoor,Rekreasi Keluarga|Tempat Belajar|Tempat Belanja,Ramah Anak|Indoor,Ramah Anak|Indoor,,,false,1,,,,,,Combined attribute query should require both child friendly and indoor labels
GT058,Attribute Filters,kuliner malam Bandung,,,,,,Kuliner|Malam,Tempat Kuliner|Tempat Belanja,Kuliner|Malam,Malam,,,false,3,,,,,,Kuliner malam query should expose Malam intent and night labels
GT059,Attribute Filters,nongkrong jam 8 malam,,,,,,Kuliner|Santai/Healing|Malam,Tempat Kuliner|Tempat Belanja,Kuliner|Malam,Malam,,,false,3,,,,,,Jam 8 malam query should expose Malam intent and plausible night venues
GT060,Attribute Filters,mall untuk belanja,,,,,,Belanja,Tempat Belanja,Belanja,,,,false,3,,Mall,,,,Mall subtype should be enforced for explicit mall query
GT061,Attribute Filters,wisata tidak terlalu ramai,,,,,,,Wisata Alam|Taman Kota|Rekreasi Keluarga,Alam|Santai/Healing,,,,false,1,,,,low,,Low crowd query should require crowd_level low in top results
GT062,Attribute Filters,tempat wisata 24 jam aman untuk keluarga,,,,,,Keluarga,Taman Kota|Rekreasi Keluarga,Keluarga|Ramah Anak,,,,false,1,,,open_24h_verified|safety_verified,,,24 hour safe family query requires both 24h and safety flags
