queue_type,location_id,location_name,priority,field_name,reason
data,LOC-176,Padepokan Dayang Sumbi,MEDIUM,avg_rating,not derivable from local Google Maps extractor
data,LOC-176,Padepokan Dayang Sumbi,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-192,Curug Ngebul Gununghalu,MEDIUM,avg_rating,not derivable from local Google Maps extractor
data,LOC-192,Curug Ngebul Gununghalu,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-195,Sungai Cikahuripan Green Canyon Saguling,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-196,Curug Walanda Citatah,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-213,Taman Cibeunying,MEDIUM,avg_rating,not derivable from local Google Maps extractor
data,LOC-213,Taman Cibeunying,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-220,Nimo Jungle Hot Spring,MEDIUM,avg_rating,not derivable from local Google Maps extractor
data,LOC-220,Nimo Jungle Hot Spring,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-226,Gunung Nini Pangalengan,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-234,Perkebunan Teh Rancabali,MEDIUM,sentiment_available,not derivable from local Google Maps extractor
data,LOC-004,Alun-Alun Sumedang,LOW,avg_rating,not derivable from local Google Maps extractor
data,LOC-004,Alun-Alun Sumedang,LOW,sentiment_available,not derivable from local Google Maps extractor
data,LOC-037,Gn. Tampomas,LOW,avg_rating,not derivable from local Google Maps extractor
data,LOC-037,Gn. Tampomas,LOW,sentiment_available,not derivable from local Google Maps extractor
data,LOC-159,Penangkaran Rusa Kertamanah,LOW,avg_rating,not derivable from local Google Maps extractor
data,LOC-159,Penangkaran Rusa Kertamanah,LOW,sentiment_available,not derivable from local Google Maps extractor
data,LOC-229,Puncak Damar Jatigede,LOW,avg_rating,not derivable from local Google Maps extractor
data,LOC-229,Puncak Damar Jatigede,LOW,sentiment_available,not derivable from local Google Maps extractor
data,LOC-233,Kampung Wisata Pangjugjugan,LOW,sentiment_available,not derivable from local Google Maps extractor
