priority,impact_score,task_type,location_id,location_name,category,issue_codes,fields_to_complete,current_is_active_verified,current_media_available,current_sentiment_available,current_avg_rating,current_coordinate_verified,what_to_find,decision_options,required_manual_fields,reviewer_decision,evidence_url,latitude,longitude,avg_rating,total_ulasan,media_image_url,media_source,latest_review_seen,reviewer_note
P1,88,rating_sentiment_completion,LOC-155,Curug Panganten,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,True,False,,False,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,88,rating_sentiment_completion,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,88,rating_sentiment_completion,LOC-226,Gunung Nini Pangalengan,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,88,rating_sentiment_completion,LOC-068,Pasar Cimindi,Tempat Belanja,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,True,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,88,rating_sentiment_completion,LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,True,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,88,rating_sentiment_completion,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,88,rating_sentiment_completion,LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-134,Bukit Bintang Bandung (Patahan Lembang),Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-192,Curug Ngebul Gununghalu,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-029,Dusun Bambu,Rekreasi Keluarga,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,True,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-152,Kebun Teh Rancabali,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,True,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-174,Lereng Anteng Panoramic Coffee,Tempat Kuliner,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-220,Nimo Jungle Hot Spring,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-162,Rumah Putih Cukul,Rekreasi Keluarga,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,True,False,,False,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,80,rating_sentiment_completion,LOC-213,Taman Cibeunying,Taman Kota,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,True,False,False,,True,"Ambil rating rata-rata terbaru, jumlah review, dan ringkasan komentar utama. Tandai low_confidence jika review sedikit/tidak kuat.",rating_filled | low_confidence | uncertain,reviewer_decision|evidence_url|avg_rating|total_ulasan|latest_review_seen|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-201,Curug Batu Templek,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.469387755102041,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-225,Curug Ceret Pangalengan,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.846153846153846,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-187,Curug Layung,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.461538461538462,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,,False,False,,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-178,De'Ranch Lembang,Wisata Satwa,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,3.679245283018868,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-226,Gunung Nini Pangalengan,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,False,,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-183,Imah Seniman Lembang,Penginapan Wisata,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.365384615384615,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-186,Indiana Camp Lembang,Tempat Camping,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.160714285714286,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-219,Museum Inggit Garnasih,Tempat Belajar,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.77054794520548,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-181,Noah's Park Lembang,Rekreasi Keluarga,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.481481481481482,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-222,Nuansa Riung Gunung,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.69811320754717,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-148,Pesona Nirwana Waterpark,Wahana Air,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.2682926829268295,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-182,Pine Forest Camp Lembang,Tempat Camping,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.526315789473684,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,False,,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-120,Rumah Guguk,Wisata Satwa,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,3.7818181818181817,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-193,Sanghyang Poek,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.277777777777778,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,False,,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-215,Taman Pramuka Bandung,Taman Kota,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.555555555555555,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-198,Tebing Gunung Hawu,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.565217391304348,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
P1,90,media_completion,LOC-177,Wahoo Waterworld,Wahana Air,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,True,False,True,4.942028985507246,True,Cari satu gambar representatif yang jelas dan relevan. Prioritaskan Google Maps/official/website tepercaya.,media_filled | no_media_found | uncertain,reviewer_decision|evidence_url|media_image_url|media_source|reviewer_note,,,,,,,,,,
