priority,impact_score,task_type,location_id,location_name,category,issue_codes,fields_to_complete,what_to_check,reviewer_decision,evidence_url,latest_review_seen,reviewer_note,review_status,decision_options,verification_search_url,fields_remaining_count
P0,105,active_status_verification,LOC-116,Wisata Kampoeng Ciherang,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Wisata+Kampoeng+Ciherang+Bandung+Jawa+Barat,1
P0,105,active_status_verification,LOC-138,Kebun Teh Sukawana,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Kebun+Teh+Sukawana+Bandung+Jawa+Barat,1
P0,105,active_status_verification,LOC-166,Muara Rahong Hills,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Muara+Rahong+Hills+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-008,Bandung Science Center,Tempat Belajar,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Bandung+Science+Center+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-017,Cihampelas Walk,Tempat Belanja,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Cihampelas+Walk+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-029,Dusun Bambu,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Dusun+Bambu+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-068,Pasar Cimindi,Tempat Belanja,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Pasar+Cimindi+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-121,NuArt Sculpture Park,Tempat Seni,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=NuArt+Sculpture+Park+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-135,Taman Main Mili-Mili & Hutan Mycelia,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Taman+Main+Mili-Mili+%26+Hutan+Mycelia+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-137,Rumah Belanda,Tempat Budaya,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Rumah+Belanda+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-139,Kawah Rengganis Ciwidey,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Kawah+Rengganis+Ciwidey+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-149,Taman Wisata Alam Cimanggu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Taman+Wisata+Alam+Cimanggu+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-152,Kebun Teh Rancabali,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Kebun+Teh+Rancabali+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-163,Kampung Adat Cikondang,Desa Wisata,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Kampung+Adat+Cikondang+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-164,Java Preanger Gunung Tilu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Java+Preanger+Gunung+Tilu+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-173,Cakrawala Nature Sparkling Restaurant,Tempat Kuliner,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Cakrawala+Nature+Sparkling+Restaurant+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-178,De'Ranch Lembang,Wisata Satwa,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=De%27Ranch+Lembang+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-180,Cimory Dairyland Lembang,Wisata Satwa,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Cimory+Dairyland+Lembang+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-181,Noah's Park Lembang,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Noah%27s+Park+Lembang+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-182,Pine Forest Camp Lembang,Tempat Camping,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Pine+Forest+Camp+Lembang+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-186,Indiana Camp Lembang,Tempat Camping,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Indiana+Camp+Lembang+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-187,Curug Layung,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Layung+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-190,Curug Anom,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Anom+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-193,Sanghyang Poek,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Sanghyang+Poek+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-198,Tebing Gunung Hawu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Tebing+Gunung+Hawu+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-201,Curug Batu Templek,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Batu+Templek+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-215,Taman Pramuka Bandung,Taman Kota,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Taman+Pramuka+Bandung+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-217,Karang Setra Waterland,Wahana Air,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Karang+Setra+Waterland+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-219,Museum Inggit Garnasih,Tempat Belajar,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Museum+Inggit+Garnasih+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-222,Nuansa Riung Gunung,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Nuansa+Riung+Gunung+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-224,Sungai Palayangan Rafting,Wisata Petualangan,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Sungai+Palayangan+Rafting+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-225,Curug Ceret Pangalengan,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Ceret+Pangalengan+Bandung+Jawa+Barat,1
P0,103,active_status_verification,LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Perkebunan+Teh+Rancabali+Bandung+Jawa+Barat,1
P1,92,coordinate_verification,LOC-023,Curug Malela,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Malela+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Jans+Park+%28Jatinangor+National+Park%29+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Pemandian+Cipanas+Cileungsing+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-116,Wisata Kampoeng Ciherang,Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Wisata+Kampoeng+Ciherang+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-138,Kebun Teh Sukawana,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Kebun+Teh+Sukawana+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-155,Curug Panganten,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Panganten+Bandung+Jawa+Barat,3
P1,92,coordinate_verification,LOC-158,Situ Ninah (Situ Datar),Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,Belum diverifikasi. Cek pin Google Maps/koordinat resmi; isi coordinate_ok/coordinate_fix/uncertain dan catat bila titik perlu diperbaiki.,pending_manual_verification,coordinate_ok | coordinate_fix | uncertain,https://www.google.com/maps/search/?api=1&query=Situ+Ninah+%28Situ+Datar%29+Bandung+Jawa+Barat,3
