location_id,location_name,category,multi_labels,avg_sentimen_skor,total_ulasan,sentimen_label_lokasi,latitude,longitude,price_min,price_max,jam_buka,jam_tutup,estimasi_durasi_menit,deskripsi_google,price_type,subcategory,tags_sintetis,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam,avg_rating,ulasan_positif,ulasan_negatif,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available
LOC-011,Bukit Jamur Rancabolang Pasirjambu,Wisata Alam,"['Alam', 'Spot Foto', 'Kuliner', 'Santai/Healing']",0.7,200.0,Sangat Positif,-7.194647,107.4322046,15000,15000,08:00,17:00,120,Tempat wisata simpel di atas bukit dengan pohon pinus mirip jamur & pemandangan kebun teh.,Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",07:00,17:00,07:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.15,156.0,16.0,0.7,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-012,Bukit Moko Bandung,Wisata Alam,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Santai/Healing']",0.96,200.0,Sangat Positif,-6.8580436,107.7113868,15000,30000,00:00,23:59,120,"Makanan tersedia di tempat ini, yang terkenal dengan pemandangannya, termasuk matahari terbenam & lampu kota.",Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.705,193.0,1.0,0.96,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-013,Bukit Senyum,Wisata Alam,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Santai/Healing']",0.8,415.0,Sangat Positif,-6.7623484,107.5097621,10000,10000,08:00,17:00,120,"Wisata alam perbukitan di Cikalong Wetan, Bandung Barat pada ketinggian 1.300 mdpl yang menyajikan panorama kebun teh, pohon pinus, dan area camping 24 jam.",Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.36867469879518,355.0,23.0,0.8,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-014,Bumi Perkemahan Ranca Upas Bandung,Tempat Camping,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner']",0.8507462686567164,67.0,Sangat Positif,-7.1397,107.3922,28000,28000,08:00,17:00,90,"Kawasan wisata alam dan perkemahan di Ciwidey, Kabupaten Bandung (ketinggian 1.700 mdpl) dengan hutan lindung asri, penangkaran rusa interaktif, dan kolam renang air panas alami.",Per Orang,Camping ground,"Wisata, Umum, Menarik",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.552238805970149,60.0,3.0,0.8507462686567164,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-015,Cadas Pangeran Sumedang,Tempat Sejarah,"['Alam', 'Spot Foto', 'Kuliner']",0.8869047619047619,336.0,Sangat Positif,-6.8827445,107.8585067,0,0,00:00,23:59,90,"Kawasan jalan raya nasional legendaris yang menghubungkan Bandung-Sumedang, dibangun pada era Daendels (1809) dengan medan curam yang diapit tebing batu cadas dan memiliki monumen bersejarah Pangeran Kornel.",Gratis,Situs sejarah,"Edukasi, Sejarah, Budaya, Indoor",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.636904761904762,312.0,14.0,0.8869047619047619,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-016,Chinatown Bandung,Tempat Budaya,"['Alam', 'Ramah Anak', 'Spot Foto', 'Edukasi', 'Kuliner', 'Belanja']",0.86,200.0,Sangat Positif,-6.91723,107.5927742,10000,30000,10:30,21:00,90,Chinatown Bandung merupakan kawasan wisata kuliner dan budaya Tionghoa di Jalan Kelenteng yang telah tutup secara permanen sejak tahun 2020 akibat dampak pandemi COVID-19.,Per Orang,Kawasan budaya tematik,"Wisata, Umum, Menarik",,,,,internet_research_verified,google_maps_multiple_sources,filled_from_reliable_source,temporarily_closed_or_unclear,Chinatown Bandung telah tutup permanen sejak 2020 akibat dampak pandemi COVID-19.,4.415,174.0,2.0,0.86,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-017,Cihampelas Walk,Tempat Belanja,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja', 'Santai/Healing']",0.9,200.0,Sangat Positif,-6.8938202,107.6055658,0,0,10:00,22:00,150,"Pusat perbelanjaan (mall) populer di Jalan Cihampelas Bandung yang berkonsep outdoor asri dipadukan indoor, lengkap dengan aneka gerai mode, kuliner, dan bioskop.",Gratis,Mall,"Belanja, Indoor, Kuliner, Modern",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.685,189.0,9.0,0.9,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-018,Cimahi Mall,Tempat Belanja,"['Ramah Anak', 'Kuliner', 'Belanja']",0.6491228070175439,399.0,Sangat Positif,-6.8784801,107.5395452,0,0,10:00,21:00,150,"Salah satu pusat perbelanjaan utama di Kota Cimahi yang menyediakan supermarket, gerai busana, area permainan anak, serta beragam pilihan tempat makan keluarga.",Gratis,Pusat belanja,"Belanja, Indoor, Kuliner, Modern",10:00,21:00,10:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.190476190476191,302.0,43.0,0.6491228070175439,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-019,Cimahi Techno Park,Tempat Belajar,['Umum'],0.8951219512195122,410.0,Sangat Positif,-6.9013502,107.5367378,30000,30000,07:30,16:30,90,"Pusat layanan teknologi dan inkubator industri kreatif digital Kota Cimahi yang menyelenggarakan pelatihan bisnis, co-working space, dan studio animasi.",Per Orang,Pusat edukasi teknologi,"Wisata, Umum, Menarik",08:00,17:00,Tutup,Tutup,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.587804878048781,377.0,10.0,0.8951219512195122,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-020,Ciwidey Valley Resort,Penginapan Wisata,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner']",0.2663316582914573,199.0,Positif,-7.1009092,107.4537886,20000,70000,08:00,17:00,90,"Kamar dan cottage simpel di resor kelas atas yang menawarkan taman rekreasi air, restoran, dan spa.",Per Orang,Resort wisata,"Wisata, Umum, Menarik",07:00,21:00,07:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,3.5025125628140703,109.0,56.0,0.2663316582914573,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-021,Curug Cipanas,Wisata Alam,"['Alam', 'Ramah Anak', 'Kuliner']",0.5102040816326531,49.0,Positif,-6.8018806,107.5915295,30000,35000,00:00,23:59,120,"Mata air alami dengan kolam renang outdoor & air terjun, plus bumi perkemahan & restoran kasual.",Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.020408163265306,35.0,10.0,0.5102040816326531,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-022,Curug Gorobog,Wisata Alam,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Santai/Healing', 'Wahana Ekstrem']",0.7368421052631579,19.0,Sangat Positif,-7.1076,107.4492,10000,10000,00:00,23:59,120,"Air terjun bertingkat tiga di kawasan Desa Wisata Citengah, Sumedang Selatan, menyajikan keindahan alam di kaki Gunung Goong serta fasilitas outbound dan camping.",Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.157894736842105,16.0,2.0,0.7368421052631579,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-023,Curug Malela,Wisata Alam,"['Alam', 'Spot Foto', 'Wahana Ekstrem']",0.7,20.0,Sangat Positif,-7.0115741,107.2056616,10000,12000,07:00,17:00,120,Curug Malela merupakan air terjun setinggi 60 meter di Rongga yang dikenal sebagai 'Niagara Mini' Bandung Barat karena bentuk alirannya yang melebar dan menyajikan pemandangan alam yang megah.,Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.2,16.0,2.0,0.7,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-024,Curug Maribaya,Wisata Alam,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Santai/Healing']",0.4878048780487805,41.0,Positif,-6.8343728,107.6580337,35000,45000,09:00,18:00,120,"Air terjun dengan jejeran pohon yang menenangkan dengan kolam renang, air panas, & restoran.",Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",09:00,18:00,09:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",3.926829268292683,28.0,8.0,0.4878048780487805,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-025,Curug Pelangi,Wisata Alam,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja']",0.8518518518518519,54.0,Sangat Positif,-6.7991735,107.5781113,20000,20000,07:00,17:00,120,"Air terjun setinggi 87 meter di Cisarua, Bandung Barat yang dikelilingi hutan pinus asri, terkenal dengan fenomena pelangi akibat bias cahaya matahari.",Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.666666666666667,49.0,3.0,0.8518518518518519,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-026,Curug Tilu Leuwi Opat,Wisata Alam,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Santai/Healing', 'Wahana Ekstrem']",0.8636363636363636,44.0,Sangat Positif,-6.7908,107.582,25000,25000,06:00,17:00,120,"Air terjun mengalir ke kolam di bawahnya, plus gua & aktivitas petualangan di taman dengan tempat kemah.",Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",06:00,17:00,06:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.659090909090909,39.0,1.0,0.8636363636363636,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-027,Dago Dreampark,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Wahana Ekstrem']",0.5686274509803921,51.0,Positif,-6.8476037,107.6254233,30000,35000,09:00,17:00,180,"Taman petualangan di hutan pinus, dengan wahana ATV, paintball & alat peraga imajinatif untuk selfie.",Per Orang,Taman rekreasi tematik,"Keluarga, Anak-anak, Wahana, Seru",09:00,17:00,08:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.0588235294117645,37.0,8.0,0.5686274509803921,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-028,Danau Biru Situ Cilembang,Wisata Alam,"['Alam', 'Kuliner', 'Santai/Healing']",0.7391304347826086,46.0,Sangat Positif,-7.21111,107.67333,10000,10000,07:00,16:00,120,Danau alam tersembunyi di kaki Gunung Tampomas Sumedang yang terkenal dengan kejernihan air mata airnya yang berwarna kebiruan bak kristal.,Per Orang,Daya tarik alam,"Alam, Outdoor, Pemandangan, Udara Segar",07:00,16:00,07:00,16:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.434782608695652,38.0,4.0,0.7391304347826086,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-029,Dusun Bambu,Rekreasi Keluarga,['Umum'],0.0,0.0,,-6.7899841,107.5786457,25000,40000,08:00,18:00,180,"Dusun Bambu adalah destinasi wisata keluarga berkonsep ramah lingkungan di Cisarua, Bandung Barat yang memadukan keindahan alam kaki Gunung Burangrang dengan wisata edukasi, kuliner, dan penginapan.",Per Orang,Kawasan rekreasi keluarga,"Keluarga, Anak-anak, Wahana, Seru",09:00,21:00,09:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,,,,0.0,unavailable,,False
LOC-030,Farm House Susu Lembang,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner']",0.606973058637084,631.0,Sangat Positif,-6.833,107.6056,35000,35000,09:00,18:00,180,"Taman hiburan dengan bangunan bergaya Eropa, kostum Belanda untuk disewa, kebun binatang mini & resto trendi.",Per Orang,Taman rekreasi tematik,"Keluarga, Anak-anak, Wahana, Seru",09:00,18:00,08:00,19:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.080824088748019,462.0,79.0,0.606973058637084,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-031,Floating Market Lembang,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja', 'Wahana Ekstrem']",0.8076923076923077,52.0,Sangat Positif,-6.8188283,107.6180313,35000,35000,09:00,18:00,180,"Pasar apung tempat makanan, camilan lokal & barang seperti pakaian dijajakan oleh pedagang dengan perahu.",Per Orang,Taman rekreasi tematik,"Keluarga, Anak-anak, Wahana, Seru",09:00,18:00,08:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.480769230769231,46.0,4.0,0.8076923076923077,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-032,Gantolle Paralayang Singajaya Cihampelas,Wisata Petualangan,"['Alam', 'Spot Foto', 'Kuliner']",0.8401727861771058,463.0,Sangat Positif,-6.9589027,107.471356,15000,15000,08:00,17:00,90,"Gantole dan Paralayang Singajaya merupakan area wisata alam ketinggian di perbukitan Singajaya, Cihampelas yang menjadi lokasi olahraga paralayang dengan panorama Waduk Saguling.",Per Orang,Aktivitas petualangan,"Wisata, Umum, Menarik",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.533477321814255,415.0,26.0,0.8401727861771058,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-033,Gedung Merdeka,Tempat Sejarah,"['Alam', 'Spot Foto', 'Edukasi']",0.9444444444444444,126.0,Sangat Positif,-6.9210059,107.6092288,0,0,09:00,15:00,90,Bangunan bersejarah bergaya art deco di Bandung yang menjadi saksi pelaksanaan Konferensi Asia Afrika (KAA) 1955 dan kini berfungsi sebagai museum KAA.,Gratis,Gedung bersejarah,"Edukasi, Sejarah, Budaya, Indoor",Tutup,Tutup,09:00,15:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.746031746031746,121.0,2.0,0.9444444444444444,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-034,Gedung Sate,Tempat Sejarah,"['Alam', 'Ramah Anak', 'Spot Foto', 'Edukasi', 'Kuliner', 'Belanja', 'Santai/Healing', 'Wahana Ekstrem']",0.95,200.0,Sangat Positif,-6.9019107,107.6173031,5000,5000,09:30,16:00,90,"Gedung pemerintahan kolonial Belanda yang berdiri tahun 1920-an, kini menjadi gedung pemerintahan Jawa Barat.",Per Orang,Gedung bersejarah,"Edukasi, Sejarah, Budaya, Indoor",Tutup,Tutup,09:30,16:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.785,192.0,2.0,0.95,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-035,"Gereja Katedral Bandung, Santo Petrus",Tempat Ibadah,"['Alam', 'Santai/Healing']",0.9242424242424242,198.0,Sangat Positif,-6.91479,107.610453,0,0,08:00,18:00,60,Tempat ibadah Katolik yang didirikan tahun 1922 dengan arsitektur tradisional yang elegan.,Gratis,Gereja,"Ruang Publik, Santai, Jalan-jalan",08:00,18:00,08:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.808080808080808,190.0,7.0,0.9242424242424242,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-036,Glamping Lakeside Rancabali,Tempat Camping,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Santai/Healing', 'Wahana Ekstrem']",0.5477386934673367,199.0,Positif,-7.1670549,107.3540784,25000,50000,08:00,17:00,90,"Glamping Lakeside Rancabali menawarkan pengalaman berkemah mewah di tepi Situ Patenggang, Ciwidey, dikelilingi kebun teh yang indah dan dilengkapi restoran ikonik berbentuk perahu Pinisi.",Per Orang,Glamping,"Wisata, Umum, Menarik",09:00,17:00,09:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,3.969849246231156,147.0,38.0,0.5477386934673367,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-037,Gn. Tampomas,Rekreasi Keluarga,['Umum'],0.0,0.0,,-6.8817995,107.5683276,5000,5000,08:00,18:00,180,Gunung Tampomas merupakan gunung berapi di Sumedang setinggi 1.684 mdpl dengan puncak Sanghiyang Taraje yang populer sebagai area pendakian alam bebas dan situs ziarah sejarah.,Per Orang,Kawasan rekreasi,"Keluarga, Anak-anak, Wahana, Seru",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,,,,0.0,unavailable,,False
LOC-038,Gn. Tangkuban Parahu,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner']",0.5454545454545454,55.0,Positif,-7.17444,107.73583,110000,110000,08:00,18:00,180,Gunung Tangkuban Parahu merupakan gunung berapi aktif ikonik di utara Bandung yang terkenal dengan kawah gas belerang raksasa seperti Kawah Ratu serta legenda Sangkuriang.,Per Orang,Kawasan rekreasi,"Keluarga, Anak-anak, Wahana, Seru",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.0,40.0,10.0,0.5454545454545454,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-039,Guha Pawon,Wisata Alam,"['Alam', 'Ramah Anak', 'Spot Foto', 'Edukasi']",0.8478260869565217,46.0,Sangat Positif,-6.8231833,107.4371655,5000,5000,08:00,16:00,120,Panorama indah ditawarkan di pintu masuk gua tua yang populer ini yang menjadi habitat bagi banyak kelelawar.,Per Orang,Gua,"Alam, Outdoor, Pemandangan, Udara Segar",08:00,16:00,08:00,16:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.652173913043479,41.0,2.0,0.8478260869565217,tfidf_linearsvc,run_nlp_pipeline_v2,True
