priority,impact_score,task_type,location_id,location_name,category,issue_codes,fields_to_complete,what_to_check,reviewer_decision,evidence_url,latest_review_seen,reviewer_note
P0,103,active_status_verification,LOC-181,Noah's Park Lembang,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-121,NuArt Sculpture Park,Tempat Seni,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-222,Nuansa Riung Gunung,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-068,Pasar Cimindi,Tempat Belanja,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-182,Pine Forest Camp Lembang,Tempat Camping,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-137,Rumah Belanda,Tempat Budaya,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-193,Sanghyang Poek,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-224,Sungai Palayangan Rafting,Wisata Petualangan,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-135,Taman Main Mili-Mili & Hutan Mycelia,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-215,Taman Pramuka Bandung,Taman Kota,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-149,Taman Wisata Alam Cimanggu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-198,Tebing Gunung Hawu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P1,92,coordinate_verification,LOC-023,Curug Malela,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-155,Curug Panganten,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-138,Kebun Teh Sukawana,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-166,Muara Rahong Hills,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-162,Rumah Putih Cukul,Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-158,Situ Ninah (Situ Datar),Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,92,coordinate_verification,LOC-116,Wisata Kampoeng Ciherang,Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,Cek titik Google Maps/official. Isi reviewer_decision: coordinate_ok / coordinate_fix / uncertain.,,,,
P1,88,rating_sentiment_completion,LOC-155,Curug Panganten,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,88,rating_sentiment_completion,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,88,rating_sentiment_completion,LOC-226,Gunung Nini Pangalengan,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,88,rating_sentiment_completion,LOC-068,Pasar Cimindi,Tempat Belanja,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,88,rating_sentiment_completion,LOC-234,Perkebunan Teh Rancabali,Rekreasi Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,88,rating_sentiment_completion,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,88,rating_sentiment_completion,LOC-137,Rumah Belanda,Tempat Budaya,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,88,rating_sentiment_completion,LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-134,Bukit Bintang Bandung (Patahan Lembang),Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-192,Curug Ngebul Gununghalu,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-029,Dusun Bambu,Rekreasi Keluarga,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-152,Kebun Teh Rancabali,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-174,Lereng Anteng Panoramic Coffee,Tempat Kuliner,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-220,Nimo Jungle Hot Spring,Wisata Alam,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-162,Rumah Putih Cukul,Rekreasi Keluarga,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,80,rating_sentiment_completion,LOC-213,Taman Cibeunying,Taman Kota,W_ACTIVE_RATING_MISSING|W_ACTIVE_SENTIMENT_UNAVAILABLE,avg_rating|sentiment_available|sentiment_model_source|sentiment_model_version,"Isi rating rata-rata dan/atau catatan jumlah review terbaru. Jika review minim, tulis low confidence.",,,,
P1,90,media_completion,LOC-201,Curug Batu Templek,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-225,Curug Ceret Pangalengan,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-187,Curug Layung,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-178,De'Ranch Lembang,Wisata Satwa,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-226,Gunung Nini Pangalengan,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-183,Imah Seniman Lembang,Penginapan Wisata,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-186,Indiana Camp Lembang,Tempat Camping,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-219,Museum Inggit Garnasih,Tempat Belajar,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-181,Noah's Park Lembang,Rekreasi Keluarga,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-222,Nuansa Riung Gunung,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-148,Pesona Nirwana Waterpark,Wahana Air,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-182,Pine Forest Camp Lembang,Tempat Camping,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-120,Rumah Guguk,Wisata Satwa,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-193,Sanghyang Poek,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-215,Taman Pramuka Bandung,Taman Kota,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-198,Tebing Gunung Hawu,Wisata Alam,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,90,media_completion,LOC-177,Wahoo Waterworld,Wahana Air,W_ACTIVE_MEDIA_UNAVAILABLE,media_available|media_image_url|media_destination_url|media_website|media_source,Cari 1 URL gambar valid yang merepresentasikan tempat. Hindari gambar gelap/stock/tidak jelas.,,,,
P1,85,facility_verification,LOC-001,23 Paskal Shopping Center,Tempat Belanja,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-002,Alam Wisata Cimahi,Rekreasi Keluarga,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-005,Amazing Artgames,Rekreasi Keluarga,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-006,Bandung Carnival Land,Rekreasi Keluarga,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-007,Bandung Indah Plaza,Tempat Belanja,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-144,Barusen Hills Ciwidey,Rekreasi Keluarga,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-010,Braga Citywalk,Tempat Belanja,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-173,Cakrawala Nature Sparkling Restaurant,Tempat Kuliner,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-017,Cihampelas Walk,Tempat Belanja,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-018,Cimahi Mall,Tempat Belanja,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
P1,85,facility_verification,LOC-171,D'Dieuland,Rekreasi Keluarga,W_ACTIVE_FACILITY_VERIFICATION_SPARSE,parking_verified|wheelchair_accessible_verified|toilet_verified|mushola_verified|pet_friendly_verified,"Cek fasilitas utama: parkir, toilet, mushola, akses kursi roda, pet friendly bila relevan.",,,,
