location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory,jam_buka,jam_tutup,estimasi_durasi_menit,tags_sintetis,deskripsi_google,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam
LOC-012,Bukit Moko Bandung,-6.8580436,107.7113868,15000,30000,Per Orang,Wisata Alam,Daya tarik alam,00:00,23:59,120,"Alam, Outdoor, Pemandangan, Udara Segar","Makanan tersedia di tempat ini, yang terkenal dengan pemandangannya, termasuk matahari terbenam & lampu kota.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-013,Bukit Senyum,-6.7623484,107.5097621,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,08:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Wisata alam perbukitan di Cikalong Wetan, Bandung Barat pada ketinggian 1.300 mdpl yang menyajikan panorama kebun teh, pohon pinus, dan area camping 24 jam.",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-014,Bumi Perkemahan Ranca Upas Bandung,-7.1397,107.3922,28000,28000,Per Orang,Tempat Camping,Camping ground,08:00,17:00,90,"Wisata, Umum, Menarik","Kawasan wisata alam dan perkemahan di Ciwidey, Kabupaten Bandung (ketinggian 1.700 mdpl) dengan hutan lindung asri, penangkaran rusa interaktif, dan kolam renang air panas alami.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-015,Cadas Pangeran Sumedang,-6.8827445,107.8585067,0,0,Gratis,Tempat Sejarah,Situs sejarah,00:00,23:59,90,"Edukasi, Sejarah, Budaya, Indoor","Kawasan jalan raya nasional legendaris yang menghubungkan Bandung-Sumedang, dibangun pada era Daendels (1809) dengan medan curam yang diapit tebing batu cadas dan memiliki monumen bersejarah Pangeran Kornel.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-016,Chinatown Bandung,-6.91723,107.5927742,10000,30000,Per Orang,Tempat Budaya,Kawasan budaya tematik,10:30,21:00,90,"Wisata, Umum, Menarik",Chinatown Bandung merupakan kawasan wisata kuliner dan budaya Tionghoa di Jalan Kelenteng yang telah tutup secara permanen sejak tahun 2020 akibat dampak pandemi COVID-19.,,,,,internet_research_verified,google_maps_multiple_sources,filled_from_reliable_source,temporarily_closed_or_unclear,Chinatown Bandung telah tutup permanen sejak 2020 akibat dampak pandemi COVID-19.
LOC-017,Cihampelas Walk,-6.8938202,107.6055658,0,0,Gratis,Tempat Belanja,Mall,10:00,22:00,150,"Belanja, Indoor, Kuliner, Modern","Pusat perbelanjaan (mall) populer di Jalan Cihampelas Bandung yang berkonsep outdoor asri dipadukan indoor, lengkap dengan aneka gerai mode, kuliner, dan bioskop.",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-018,Cimahi Mall,-6.8784801,107.5395452,0,0,Gratis,Tempat Belanja,Pusat belanja,10:00,21:00,150,"Belanja, Indoor, Kuliner, Modern","Salah satu pusat perbelanjaan utama di Kota Cimahi yang menyediakan supermarket, gerai busana, area permainan anak, serta beragam pilihan tempat makan keluarga.",10:00,21:00,10:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-019,Cimahi Techno Park,-6.9013502,107.5367378,30000,30000,Per Orang,Tempat Belajar,Pusat edukasi teknologi,07:30,16:30,90,"Wisata, Umum, Menarik","Pusat layanan teknologi dan inkubator industri kreatif digital Kota Cimahi yang menyelenggarakan pelatihan bisnis, co-working space, dan studio animasi.",08:00,17:00,Tutup,Tutup,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-020,Ciwidey Valley Resort,-7.1009092,107.4537886,20000,70000,Per Orang,Penginapan Wisata,Resort wisata,08:00,17:00,90,"Wisata, Umum, Menarik","Kamar dan cottage simpel di resor kelas atas yang menawarkan taman rekreasi air, restoran, dan spa.",07:00,21:00,07:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-021,Curug Cipanas,-6.8018806,107.5915295,30000,35000,Per Orang,Wisata Alam,Daya tarik alam,00:00,23:59,120,"Alam, Outdoor, Pemandangan, Udara Segar","Mata air alami dengan kolam renang outdoor & air terjun, plus bumi perkemahan & restoran kasual.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-022,Curug Gorobog,-7.1076,107.4492,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,00:00,23:59,120,"Alam, Outdoor, Pemandangan, Udara Segar","Air terjun bertingkat tiga di kawasan Desa Wisata Citengah, Sumedang Selatan, menyajikan keindahan alam di kaki Gunung Goong serta fasilitas outbound dan camping.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-023,Curug Malela,-7.0115741,107.2056616,10000,12000,Per Orang,Wisata Alam,Daya tarik alam,07:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar",Curug Malela merupakan air terjun setinggi 60 meter di Rongga yang dikenal sebagai 'Niagara Mini' Bandung Barat karena bentuk alirannya yang melebar dan menyajikan pemandangan alam yang megah.,08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-024,Curug Maribaya,-6.8343728,107.6580337,35000,45000,Per Orang,Wisata Alam,Daya tarik alam,09:00,18:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Air terjun dengan jejeran pohon yang menenangkan dengan kolam renang, air panas, & restoran.",09:00,18:00,09:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-025,Curug Pelangi,-6.7991735,107.5781113,20000,20000,Per Orang,Wisata Alam,Daya tarik alam,07:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Air terjun setinggi 87 meter di Cisarua, Bandung Barat yang dikelilingi hutan pinus asri, terkenal dengan fenomena pelangi akibat bias cahaya matahari.",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-026,Curug Tilu Leuwi Opat,-6.7908,107.582,25000,25000,Per Orang,Wisata Alam,Daya tarik alam,06:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Air terjun mengalir ke kolam di bawahnya, plus gua & aktivitas petualangan di taman dengan tempat kemah.",06:00,17:00,06:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-027,Dago Dreampark,-6.8476037,107.6254233,30000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,09:00,17:00,180,"Keluarga, Anak-anak, Wahana, Seru","Taman petualangan di hutan pinus, dengan wahana ATV, paintball & alat peraga imajinatif untuk selfie.",09:00,17:00,08:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-028,Danau Biru Situ Cilembang,-7.21111,107.67333,10000,10000,Per Orang,Wisata Alam,Daya tarik alam,07:00,16:00,120,"Alam, Outdoor, Pemandangan, Udara Segar",Danau alam tersembunyi di kaki Gunung Tampomas Sumedang yang terkenal dengan kejernihan air mata airnya yang berwarna kebiruan bak kristal.,07:00,16:00,07:00,16:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-029,Dusun Bambu,-6.7899841,107.5786457,25000,40000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi keluarga,08:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru","Dusun Bambu adalah destinasi wisata keluarga berkonsep ramah lingkungan di Cisarua, Bandung Barat yang memadukan keindahan alam kaki Gunung Burangrang dengan wisata edukasi, kuliner, dan penginapan.",09:00,21:00,09:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-030,Farm House Susu Lembang,-6.833,107.6056,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,09:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru","Taman hiburan dengan bangunan bergaya Eropa, kostum Belanda untuk disewa, kebun binatang mini & resto trendi.",09:00,18:00,08:00,19:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-031,Floating Market Lembang,-6.8188283,107.6180313,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,09:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru","Pasar apung tempat makanan, camilan lokal & barang seperti pakaian dijajakan oleh pedagang dengan perahu.",09:00,18:00,08:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-032,Gantolle Paralayang Singajaya Cihampelas,-6.9589027,107.471356,15000,15000,Per Orang,Wisata Petualangan,Aktivitas petualangan,08:00,17:00,90,"Wisata, Umum, Menarik","Gantole dan Paralayang Singajaya merupakan area wisata alam ketinggian di perbukitan Singajaya, Cihampelas yang menjadi lokasi olahraga paralayang dengan panorama Waduk Saguling.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-033,Gedung Merdeka,-6.9210059,107.6092288,0,0,Gratis,Tempat Sejarah,Gedung bersejarah,09:00,15:00,90,"Edukasi, Sejarah, Budaya, Indoor",Bangunan bersejarah bergaya art deco di Bandung yang menjadi saksi pelaksanaan Konferensi Asia Afrika (KAA) 1955 dan kini berfungsi sebagai museum KAA.,Tutup,Tutup,09:00,15:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-034,Gedung Sate,-6.9019107,107.6173031,5000,5000,Per Orang,Tempat Sejarah,Gedung bersejarah,09:30,16:00,90,"Edukasi, Sejarah, Budaya, Indoor","Gedung pemerintahan kolonial Belanda yang berdiri tahun 1920-an, kini menjadi gedung pemerintahan Jawa Barat.",Tutup,Tutup,09:30,16:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-035,"Gereja Katedral Bandung, Santo Petrus",-6.91479,107.610453,0,0,Gratis,Tempat Ibadah,Gereja,08:00,18:00,60,"Ruang Publik, Santai, Jalan-jalan",Tempat ibadah Katolik yang didirikan tahun 1922 dengan arsitektur tradisional yang elegan.,08:00,18:00,08:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-036,Glamping Lakeside Rancabali,-7.1670549,107.3540784,25000,50000,Per Orang,Tempat Camping,Glamping,08:00,17:00,90,"Wisata, Umum, Menarik","Glamping Lakeside Rancabali menawarkan pengalaman berkemah mewah di tepi Situ Patenggang, Ciwidey, dikelilingi kebun teh yang indah dan dilengkapi restoran ikonik berbentuk perahu Pinisi.",09:00,17:00,09:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-037,Gn. Tampomas,-6.8817995,107.5683276,5000,5000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi,08:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru",Gunung Tampomas merupakan gunung berapi di Sumedang setinggi 1.684 mdpl dengan puncak Sanghiyang Taraje yang populer sebagai area pendakian alam bebas dan situs ziarah sejarah.,00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-038,Gn. Tangkuban Parahu,-7.17444,107.73583,110000,110000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi,08:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru",Gunung Tangkuban Parahu merupakan gunung berapi aktif ikonik di utara Bandung yang terkenal dengan kawah gas belerang raksasa seperti Kawah Ratu serta legenda Sangkuriang.,08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-039,Guha Pawon,-6.8231833,107.4371655,5000,5000,Per Orang,Wisata Alam,Gua,08:00,16:00,120,"Alam, Outdoor, Pemandangan, Udara Segar",Panorama indah ditawarkan di pintu masuk gua tua yang populer ini yang menjadi habitat bagi banyak kelelawar.,08:00,16:00,08:00,16:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-040,Gunung Bohong,-6.876389,107.519722,5000,5000,Per Orang,Wisata Alam,Daya tarik alam,07:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar",Bukit hijau setinggi 877 mdpl di Kota Cimahi yang menjadi jalur pendakian rekreasi keluarga yang dilengkapi tangga paving block dan pemandangan perkotaan yang indah.,06:00,18:00,06:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-041,Gunung Puntang,-7.1213917,107.6212909,25000,35000,Per Orang,Wisata Alam,Daya tarik alam,07:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Gunung Puntang di Cimaung, Bandung Selatan merupakan kawasan wisata alam bersejarah yang menyajikan reruntuhan Stasiun Radio Malabar kolonial Belanda, bumi perkemahan, dan jalur pendakian.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-042,Gunung Putri Lembang,-6.795833,107.6338052,10000,25000,Per Orang,Wisata Alam,Daya tarik alam,07:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Gunung Putri Lembang adalah bukit perkemahan setinggi 1.587 mdpl yang menyuguhkan pemandangan matahari terbit, pemandangan lampu kota Bandung, dan jalur pendakian ramah pemula di kelilingi hutan pinus.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-043,Happyfarm Ciwidey,-7.1154888,107.4380458,10000,20000,Per Orang,Wisata Satwa,Wisata farm,00:00,00:00,90,"Wisata, Umum, Menarik","Happy Farm Ciwidey adalah destinasi wisata keluarga bertema peternakan edukatif di Ciwidey, menampilkan kebun binatang mini kelinci dan domba, wahana berkuda, serta Candy House yang ceria.",09:00,17:00,08:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-044,Jans Park (Jatinangor National Park),-6.918795,107.769342,30000,100000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,08:00,17:00,180,"Keluarga, Anak-anak, Wahana, Seru","Taman bunga florawisata terbesar di Sumedang yang mengusung konsep kastil ala negeri dongeng dengan rainbow slide, bianglala, serta pemandangan Gunung Manglayang.",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-045,Jendela Alam,-6.819371,107.596634,20000,20000,Per Orang,Tempat Belajar,Edukasi alam,08:30,16:30,90,"Wisata, Umum, Menarik","Aktivitas pertanian adalah tema dari wisata belajar ini, yang ditujukan untuk dunia alam.",08:30,16:30,08:30,16:30,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-046,Kampung Buyut Cipageran (Kabuci) Asih Putera,-6.8480317,107.5487982,10000,10000,Per Orang,Desa Wisata,Kampung wisata,08:00,22:00,90,"Wisata, Umum, Menarik","Kampung wisata adat dan konservasi tanaman langka di Cimahi Utara yang menyajikan suasana asri kebudayaan Sunda tradisional, saung bambu, dan edukasi pertanian.",08:00,22:00,08:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-047,Kampung Cireundeu,-6.9142798,107.523423,0,0,Gratis,Desa Wisata,Kampung adat,08:00,17:00,90,"Wisata, Umum, Menarik",Kampung adat Sunda Wiwitan di Cimahi Selatan yang terkenal karena kemandirian pangan warganya dengan mengonsumsi beras singkong (rasi) serta pelestarian hutan larangan.,08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-048,Kampung Karuhun Eco Green Park Sumedang,-6.892019,107.954774,15000,30000,Per Orang,Rekreasi Keluarga,Eco park,08:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru","Kampung Karuhun Eco Green Park di Citengah, Sumedang memadukan konsep wisata alam pegunungan dengan wahana petualangan luar ruangan seperti river tubing, kolam renang, dan panggung seni budaya.",08:00,16:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-049,Kampung Toga Villa & Resto,-6.8722,107.9119,10000,10000,Per Orang,Tempat Kuliner,Restoran wisata,11:00,22:00,90,"Kuliner, Nongkrong, Santai","Kampung Toga Villa & Resto di Sukajaya, Sumedang Selatan, adalah kawasan agrowisata keluarga yang menyuguhkan pemandangan perbukitan asri, villa penginapan, kolam renang, serta arena olahraga paralayang.",08:00,21:00,08:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-050,Kawah Putih,-7.1661181,107.4022669,31000,31000,Per Orang,Wisata Alam,Daya tarik alam,07:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Kawah Putih adalah danau kawah vulkanik eksotis yang terbentuk dari letusan Gunung Patuha di Ciwidey, terletak pada ketinggian 2.430 mdpl dengan air putih kehijauan yang menawan dan udara sejuk.",07:00,17:00,07:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-051,Kebun Begonia Lembang,-6.8257237,107.6377442,30000,30000,Per Orang,Wisata Alam,Taman bunga,08:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar",Taman kecil populer ini dipenuhi berbagai bunga warna-warni dan menawarkan sayuran untuk dipetik.,08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-052,Kebun Binatang Bandung,-6.8911349,107.6069218,50000,50000,Per Orang,Wisata Satwa,Wisata satwa,08:00,17:00,90,"Wisata, Umum, Menarik",Kebun Binatang Bandung merupakan taman margasatwa seluas 14 hektar di Tamansari yang mengoleksi lebih dari 800 satwa dan berfungsi sebagai kawasan konservasi edukatif di tengah Kota Bandung.,10:00,16:00,10:00,16:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-053,Lembang Park & Zoo,-6.8054528,107.5913571,65000,85000,Per Orang,Wisata Satwa,Wisata satwa,09:00,17:00,90,"Wisata, Umum, Menarik","Kebun binatang kecil dengan harimau, reptil & kandang burung eksotis, plus taman hiburan & naik kuda poni.",09:00,17:00,08:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-054,Lembang Wonderland,-6.8172979,107.6121455,35000,35000,Per Orang,Rekreasi Keluarga,Taman rekreasi tematik,10:00,19:00,180,"Keluarga, Anak-anak, Wahana, Seru","Latar belakang fantasi seperti desa salju atau taman es krim untuk berfoto, serta pertunjukan, di taman tema.",10:00,19:00,10:00,20:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-055,Maribaya Natural Hotspring Resort,-6.8309841,107.6552157,45000,45000,Per Orang,Wisata Alam,Air panas alami,07:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Maribaya Natural Hotspring Resort di Lembang menyajikan pemandian air panas alami berkhasiat kesehatan yang dikelilingi hutan pinus rindang, air terjun Cigulung, serta area bermain keluarga.",08:00,18:00,08:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-056,Masjid Agung Bandung,-6.9218,107.6062,0,0,Gratis,Tempat Ibadah,Tempat ibadah,05:00,22:00,60,"Ruang Publik, Santai, Jalan-jalan","Masjid luas yang didirikan pada abad ke-19 dengan atap kubah yang besar, dan menara kembar 81 m.",05:00,22:00,05:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
