"oleh_oleh_id","name","produk_utama","price_range_label","price_min_idr","price_max_idr","price_has_plus","price_bucket_from_min","price_confidence","daya_tahan_produk_label","daya_tahan_produk_class","cocok_untuk","best_use_case","catatan_manual","evidence_source","manual_status","manual_recommendation_status","main_recommendation_eligible"
"OOBASE-20260609-0018","PD.Bagus Tahu Dan Tempe Special","Tahu sutra, tempe spesial","Rp 10.000 - Rp 30.000","10000","30000","False","<50k","medium","1-2 hari (mentah)","rendah","Keluarga, masakan rumah","Oleh-oleh sayur/lauk segar","Fresh langsung dari pabrik.","General Knowledge","complete","active","True"
"OOBASE-20260609-0021","Susu Murni KPSBU Lembang","Susu pasteurisasi, yoghurt KPSBU","Rp 12.000 - Rp 35.000","12000","35000","False","<50k","high","1-2 hari dingin","sedang","Keluarga, penggemar susu murni","Konsumsi instan atau dibawa dalam coolbox","Susu paling legendaris dan asli koperasi Lembang.","General Knowledge","complete","active","True"
"OOBASE-20260609-0014","Kue Balok Jaya Giri","Kue balok setengah matang dan matang","Rp 20.000 - Rp 35.000","20000","35000","False","<50k","medium","2-3 hari","rendah","Teman ngopi/ngeteh","Camilan sore","Varian lumer sangat direkomendasikan.","General Knowledge","complete","active","True"
"OOBASE-20260609-0012","Kartika Sari Lembang","Pisang Bollen, Brownies panggang, Cheese roll","Rp 50.000 - Rp 120.000","50000","120000","False","50k-100k","high","3-5 hari","sedang","Keluarga besar, kolega, oleh-oleh premium","Hantaran resmi","Toko oleh-oleh paling ikonik dari Bandung.","General Knowledge","complete","active","True"
"OOBASE-20260609-0001","*UMMI* Snack Lembang","Aneka snack kemasan, keripik, sale pisang","Rp 15.000 - Rp 45.000","15000","45000","False","<50k","medium","1-3 bulan","tinggi","Rombongan, camilan perjalanan","Nyemil di kendaraan","Harga terjangkau, banyak pilihan.","General Knowledge","complete","active","True"
"OOBASE-20260609-0005","Bolu susu Lembang Cikole","Bolu Susu","Rp 35.000 - Rp 55.000","35000","55000","False","<50k","high","3-4 hari","sedang","Oleh-oleh keluarga","Buah tangan","Cabang distributor bolu susu di area Cikole.","General Knowledge","complete","active","True"
"OOBASE-20260609-0008","Central Snack","Camilan ringan, kerupuk, basreng","Rp 10.000 - Rp 40.000","10000","40000","False","<50k","medium","1-3 bulan","tinggi","Rombongan wisata","Camilan curah/grosir","Sentra camilan yang lengkap.","General Knowledge","complete","active","True"
"OOBASE-20260609-0006","Brownies Susu Lembang - Ini Asli Lembang","Brownies susu aneka topping","Rp 35.000 - Rp 60.000","35000","60000","False","<50k","medium","4-5 hari","sedang","Pecinta coklat, hantaran","Oleh-oleh alternatif selain bolu","Perpaduan brownies dan susu lembang.","General Knowledge","complete","active","True"
"OOBASE-20260609-0022","Toko Kasohor Almond Crispy Cheese Bandung","Almond Crispy Cheese","Rp 45.000 - Rp 80.000","45000","80000","False","<50k","high","1-2 bulan","tinggi","Hadiah teman kantor, camilan ringan","Oleh-oleh berkelas dan praktis","Sangat rapuh, hati-hati membawanya.","General Knowledge","complete","active","True"
"OOBASE-20260609-0010","Kangsule Kampoeng Susu Lembang","Snack kemasan, kerupuk, produk lokal","Rp 10.000 - Rp 50.000","10000","50000","False","<50k","medium","1-3 bulan","tinggi","Rombongan bus wisata","Camilan grosir murah","Komplit untuk oleh-oleh curah.","General Knowledge","complete","needs_review","False"
"OOBASE-20260609-0017","Pabrik Tahu Sibungsu","Tahu Lembang","Rp 15.000 - Rp 30.000","15000","30000","False","<50k","medium","1-2 hari","rendah","Pecinta tahu","Bahan lauk","Sebaiknya bawa pakai wadah berair.","General Knowledge","complete","held_manual","False"
"OOBASE-20260609-0007","Bubunasnack","Keripik, makanan kering ringan","Rp 15.000 - Rp 35.000","15000","35000","False","<50k","medium","1-2 bulan","tinggi","Semua usia","Teman nonton","Praktis dan banyak rasa.","General Knowledge","complete","active_low_rank","True"
