test_id,query,status,issues,rank,name,category,score,base_score,query_score,distance_km,distance_label,produk_utama,price_range,price_min_idr,price_max_idr,price_bucket,price_confidence,daya_tahan_produk,daya_tahan_produk_class,cocok_untuk,best_use_case,warnings,main_recommendation_eligible
OO-AUD-003,oleh-oleh tahan perjalanan jauh,PASS,,3,Central Snack,snack_keripik,64.85,62.0,74.94,,Jarak belum dihitung,"Camilan ringan, kerupuk, basreng",Rp 10.000 - Rp 40.000,10000,40000,<50k,medium,1-3 bulan,tinggi,Rombongan wisata,Camilan curah/grosir,price_estimate_medium_confidence,True
OO-AUD-003,oleh-oleh tahan perjalanan jauh,PASS,,4,Bubunasnack,snack_keripik,58.06,53.0,76.0,,Jarak belum dihitung,"Keripik, makanan kering ringan",Rp 15.000 - Rp 35.000,15000,35000,<50k,medium,1-2 bulan,tinggi,Semua usia,Teman nonton,manual_low_rank;price_estimate_medium_confidence,True
OO-AUD-004,camilan di bus untuk rombongan,PASS,,1,Keripik Tempe Tembul,snack_keripik,75.16,69.0,97.0,,Jarak belum dihitung,Keripik tempe aneka rasa,Rp 15.000 - Rp 35.000,15000,35000,<50k,high,1-3 bulan,tinggi,"Semua kalangan, camilan perjalanan",Camilan di bus/mobil,,True
OO-AUD-004,camilan di bus untuk rombongan,PASS,,2,*UMMI* Snack Lembang,snack_keripik,70.36,62.0,100.0,,Jarak belum dihitung,"Aneka snack kemasan, keripik, sale pisang",Rp 15.000 - Rp 45.000,15000,45000,<50k,medium,1-3 bulan,tinggi,"Rombongan, camilan perjalanan",Nyemil di kendaraan,review_text_low;price_estimate_medium_confidence,True
OO-AUD-004,camilan di bus untuk rombongan,PASS,,3,Central Snack,snack_keripik,70.36,62.0,100.0,,Jarak belum dihitung,"Camilan ringan, kerupuk, basreng",Rp 10.000 - Rp 40.000,10000,40000,<50k,medium,1-3 bulan,tinggi,Rombongan wisata,Camilan curah/grosir,price_estimate_medium_confidence,True
OO-AUD-004,camilan di bus untuk rombongan,PASS,,4,Bubunasnack,snack_keripik,60.95,53.0,89.12,,Jarak belum dihitung,"Keripik, makanan kering ringan",Rp 15.000 - Rp 35.000,15000,35000,<50k,medium,1-2 bulan,tinggi,Semua usia,Teman nonton,manual_low_rank;price_estimate_medium_confidence,True
OO-AUD-005,oleh-oleh untuk keluarga,PASS,,1,Donatsu - Donat Susu Lembang,kue_bolu_pastry,72.34,82.0,38.07,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-005,oleh-oleh untuk keluarga,PASS,,2,Bandung Miyucheeze,kue_bolu_pastry,65.66,72.0,43.17,,Jarak belum dihitung,"Japanese Cheesecake, Cheese Tart",Rp 50.000 - Rp 100.000,50000,100000,50k-100k,medium,3-4 hari di kulkas,sedang,"Pecinta keju, keluarga, hadiah premium",Oleh-oleh premium untuk keluarga,price_estimate_medium_confidence,True
OO-AUD-005,oleh-oleh untuk keluarga,PASS,,3,Serba Susu Lembang,olahan_susu,65.61,74.0,35.86,,Jarak belum dihitung,"Permen susu, Susu murni botol, Yoguroll, Bola-bola susu",Rp 15.000 - Rp 85.000,15000,85000,<50k,high,"Susu murni (1-2 hari dingin), permen (berbulan-bulan)",tinggi,"Anak-anak, pecinta susu, keluarga","Oleh-oleh sehat, konsumsi harian",,True
OO-AUD-005,oleh-oleh untuk keluarga,PASS,,4,Pabrik Bolu Susu Lembang,kue_bolu_pastry,61.06,68.0,36.47,,Jarak belum dihitung,"Bolu Susu Original, Vanilla, Coklat, Red Velvet",Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari suhu ruang,sedang,"Oleh-oleh khas wajib, keluarga besar",Buah tangan andalan dari Lembang,,True
OO-AUD-005,oleh-oleh untuk keluarga,PASS,,5,Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung,haji_umroh_kurma,60.78,73.0,17.44,,Jarak belum dihitung,"Kurma, kismis, air zamzam, hampers haji/umroh",Rp 35.000 - Rp 300.000+,35000,300000,<50k,medium,Berbulan-bulan hingga 1 tahun,tinggi,"Jamaah haji/umroh, hadiah religius",Paket oleh-oleh ibadah,category_coverage_low;price_estimate_medium_confidence,True
OO-AUD-006,buah tangan keluarga Bandung,PASS,,1,Donatsu - Donat Susu Lembang,kue_bolu_pastry,69.59,82.0,25.57,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-006,buah tangan keluarga Bandung,PASS,,2,Serba Susu Lembang,olahan_susu,62.86,74.0,23.36,,Jarak belum dihitung,"Permen susu, Susu murni botol, Yoguroll, Bola-bola susu",Rp 15.000 - Rp 85.000,15000,85000,<50k,high,"Susu murni (1-2 hari dingin), permen (berbulan-bulan)",tinggi,"Anak-anak, pecinta susu, keluarga","Oleh-oleh sehat, konsumsi harian",,True
OO-AUD-006,buah tangan keluarga Bandung,PASS,,3,Bandung Miyucheeze,kue_bolu_pastry,62.36,72.0,28.17,,Jarak belum dihitung,"Japanese Cheesecake, Cheese Tart",Rp 50.000 - Rp 100.000,50000,100000,50k-100k,medium,3-4 hari di kulkas,sedang,"Pecinta keju, keluarga, hadiah premium",Oleh-oleh premium untuk keluarga,price_estimate_medium_confidence,True
OO-AUD-006,buah tangan keluarga Bandung,PASS,,4,Pabrik Bolu Susu Lembang,kue_bolu_pastry,61.61,68.0,38.97,,Jarak belum dihitung,"Bolu Susu Original, Vanilla, Coklat, Red Velvet",Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari suhu ruang,sedang,"Oleh-oleh khas wajib, keluarga besar",Buah tangan andalan dari Lembang,,True
OO-AUD-006,buah tangan keluarga Bandung,PASS,,5,Karma Oleh Oleh Bandung,souvenir_non_makanan,61.43,70.0,31.06,,Jarak belum dihitung,"Kaos Bandung, souvenir, gantungan kunci, kerajinan",Rp 10.000 - Rp 150.000,10000,150000,<50k,high,Sangat lama (Non-makanan),tinggi,"Wisatawan, rombongan tour",Kenang-kenangan fisik dari Bandung,category_coverage_low,True
OO-AUD-007,souvenir Bandung,PASS,,1,Karma Oleh Oleh Bandung,souvenir_non_makanan,72.2,70.0,80.0,,Jarak belum dihitung,"Kaos Bandung, souvenir, gantungan kunci, kerajinan",Rp 10.000 - Rp 150.000,10000,150000,<50k,high,Sangat lama (Non-makanan),tinggi,"Wisatawan, rombongan tour",Kenang-kenangan fisik dari Bandung,category_coverage_low,True
OO-AUD-008,kaos souvenir Bandung,PASS,,1,Karma Oleh Oleh Bandung,souvenir_non_makanan,75.0,70.0,80.0,,Jarak belum dihitung,"Kaos Bandung, souvenir, gantungan kunci, kerajinan",Rp 10.000 - Rp 150.000,10000,150000,<50k,high,Sangat lama (Non-makanan),tinggi,"Wisatawan, rombongan tour",Kenang-kenangan fisik dari Bandung,category_coverage_low,True
OO-AUD-009,kurma haji umroh Bandung,PASS,,1,Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung,haji_umroh_kurma,76.5,73.0,80.0,,Jarak belum dihitung,"Kurma, kismis, air zamzam, hampers haji/umroh",Rp 35.000 - Rp 300.000+,35000,300000,<50k,medium,Berbulan-bulan hingga 1 tahun,tinggi,"Jamaah haji/umroh, hadiah religius",Paket oleh-oleh ibadah,category_coverage_low;price_estimate_medium_confidence,True
OO-AUD-010,paket hampers haji umroh,PASS,,1,Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung,haji_umroh_kurma,74.54,73.0,80.0,,Jarak belum dihitung,"Kurma, kismis, air zamzam, hampers haji/umroh",Rp 35.000 - Rp 300.000+,35000,300000,<50k,medium,Berbulan-bulan hingga 1 tahun,tinggi,"Jamaah haji/umroh, hadiah religius",Paket oleh-oleh ibadah,category_coverage_low;price_estimate_medium_confidence,True
OO-AUD-011,tahu susu Lembang,PASS,,1,Pabrik Tahu PD Uties,tahu_tempe,64.0,68.0,60.0,,Jarak belum dihitung,"Tahu segar, tempe, olahan kedelai",Rp 5.000 - Rp 25.000,5000,25000,<50k,medium,1-2 hari (mentah),rendah,"Ibu rumah tangga, pecinta kuliner tahu",Bahan masakan di rumah pasca liburan,opening_hours_unavailable;price_estimate_medium_confidence,True
OO-AUD-011,tahu susu Lembang,PASS,,2,PD.Bagus Tahu Dan Tempe Special,tahu_tempe,63.0,66.0,60.0,,Jarak belum dihitung,"Tahu sutra, tempe spesial",Rp 10.000 - Rp 30.000,10000,30000,<50k,medium,1-2 hari (mentah),rendah,"Keluarga, masakan rumah",Oleh-oleh sayur/lauk segar,price_estimate_medium_confidence,True
OO-AUD-012,tempe spesial Lembang,PASS,,1,PD.Bagus Tahu Dan Tempe Special,tahu_tempe,66.88,66.0,70.0,,Jarak belum dihitung,"Tahu sutra, tempe spesial",Rp 10.000 - Rp 30.000,10000,30000,<50k,medium,1-2 hari (mentah),rendah,"Keluarga, masakan rumah",Oleh-oleh sayur/lauk segar,price_estimate_medium_confidence,True
OO-AUD-012,tempe spesial Lembang,PASS,,2,Pabrik Tahu PD Uties,tahu_tempe,66.24,68.0,60.0,,Jarak belum dihitung,"Tahu segar, tempe, olahan kedelai",Rp 5.000 - Rp 25.000,5000,25000,<50k,medium,1-2 hari (mentah),rendah,"Ibu rumah tangga, pecinta kuliner tahu",Bahan masakan di rumah pasca liburan,opening_hours_unavailable;price_estimate_medium_confidence,True
OO-AUD-013,susu murni Lembang,PASS,,1,Serba Susu Lembang,olahan_susu,77.0,74.0,80.0,,Jarak belum dihitung,"Permen susu, Susu murni botol, Yoguroll, Bola-bola susu",Rp 15.000 - Rp 85.000,15000,85000,<50k,high,"Susu murni (1-2 hari dingin), permen (berbulan-bulan)",tinggi,"Anak-anak, pecinta susu, keluarga","Oleh-oleh sehat, konsumsi harian",,True
OO-AUD-013,susu murni Lembang,PASS,,2,Susu Murni KPSBU Lembang,olahan_susu,73.0,66.0,80.0,,Jarak belum dihitung,"Susu pasteurisasi, yoghurt KPSBU",Rp 12.000 - Rp 35.000,12000,35000,<50k,high,1-2 hari dingin,sedang,"Keluarga, penggemar susu murni",Konsumsi instan atau dibawa dalam coolbox,,True
OO-AUD-013,susu murni Lembang,PASS,,3,Barokah Fresh Milk,olahan_susu,69.5,69.0,70.0,,Jarak belum dihitung,"Susu sapi murni, yoghurt segar",Rp 10.000 - Rp 25.000,10000,25000,<50k,medium,1-2 hari dingin,sedang,"Wisatawan lokal, anak-anak",Konsumsi langsung saat wisata,price_estimate_medium_confidence,True
OO-AUD-014,yoghurt segar Lembang,PASS,,1,Susu Murni KPSBU Lembang,olahan_susu,73.0,66.0,80.0,,Jarak belum dihitung,"Susu pasteurisasi, yoghurt KPSBU",Rp 12.000 - Rp 35.000,12000,35000,<50k,high,1-2 hari dingin,sedang,"Keluarga, penggemar susu murni",Konsumsi instan atau dibawa dalam coolbox,,True
OO-AUD-014,yoghurt segar Lembang,PASS,,2,Barokah Fresh Milk,olahan_susu,69.5,69.0,70.0,,Jarak belum dihitung,"Susu sapi murni, yoghurt segar",Rp 10.000 - Rp 25.000,10000,25000,<50k,medium,1-2 hari dingin,sedang,"Wisatawan lokal, anak-anak",Konsumsi langsung saat wisata,price_estimate_medium_confidence,True
OO-AUD-014,yoghurt segar Lembang,PASS,,3,Serba Susu Lembang,olahan_susu,68.0,74.0,62.0,,Jarak belum dihitung,"Permen susu, Susu murni botol, Yoguroll, Bola-bola susu",Rp 15.000 - Rp 85.000,15000,85000,<50k,high,"Susu murni (1-2 hari dingin), permen (berbulan-bulan)",tinggi,"Anak-anak, pecinta susu, keluarga","Oleh-oleh sehat, konsumsi harian",,True
OO-AUD-015,bolu susu Lembang,PASS,,1,Pabrik Bolu Susu Lembang,kue_bolu_pastry,84.0,68.0,100.0,,Jarak belum dihitung,"Bolu Susu Original, Vanilla, Coklat, Red Velvet",Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari suhu ruang,sedang,"Oleh-oleh khas wajib, keluarga besar",Buah tangan andalan dari Lembang,,True
OO-AUD-015,bolu susu Lembang,PASS,,2,Bolu susu Lembang Cikole,kue_bolu_pastry,81.0,62.0,100.0,,Jarak belum dihitung,Bolu Susu,Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari,sedang,Oleh-oleh keluarga,Buah tangan,,True
OO-AUD-015,bolu susu Lembang,PASS,,3,Brownies Susu Lembang - Ini Asli Lembang,kue_bolu_pastry,79.5,61.0,98.0,,Jarak belum dihitung,Brownies susu aneka topping,Rp 35.000 - Rp 60.000,35000,60000,<50k,medium,4-5 hari,sedang,"Pecinta coklat, hantaran",Oleh-oleh alternatif selain bolu,review_text_low;price_estimate_medium_confidence,True
OO-AUD-015,bolu susu Lembang,PASS,,4,Donatsu - Donat Susu Lembang,kue_bolu_pastry,60.0,82.0,38.0,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-015,bolu susu Lembang,PASS,,5,"Siliwangi Bolu Kukus Lembang, Bandung",kue_bolu_pastry,48.5,69.0,28.0,,Jarak belum dihitung,"Bolu kukus (Black forest, Alpukat, dll)",Rp 34.000 - Rp 47.000,34000,47000,<50k,high,3-4 hari suhu ruang,sedang,"Keluarga, acara santai",Kue hantaran atau konsumsi rumah,,True
OO-AUD-016,brownies susu Lembang,PASS,,1,Brownies Susu Lembang - Ini Asli Lembang,kue_bolu_pastry,63.5,61.0,66.0,,Jarak belum dihitung,Brownies susu aneka topping,Rp 35.000 - Rp 60.000,35000,60000,<50k,medium,4-5 hari,sedang,"Pecinta coklat, hantaran",Oleh-oleh alternatif selain bolu,review_text_low;price_estimate_medium_confidence,True
OO-AUD-016,brownies susu Lembang,PASS,,2,Kartika Sari Lembang,kue_bolu_pastry,59.5,63.0,56.0,,Jarak belum dihitung,"Pisang Bollen, Brownies panggang, Cheese roll",Rp 50.000 - Rp 120.000,50000,120000,50k-100k,high,3-5 hari,sedang,"Keluarga besar, kolega, oleh-oleh premium",Hantaran resmi,,True
OO-AUD-016,brownies susu Lembang,PASS,,3,Donatsu - Donat Susu Lembang,kue_bolu_pastry,55.0,82.0,28.0,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-016,brownies susu Lembang,PASS,,4,Pabrik Bolu Susu Lembang,kue_bolu_pastry,48.0,68.0,28.0,,Jarak belum dihitung,"Bolu Susu Original, Vanilla, Coklat, Red Velvet",Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari suhu ruang,sedang,"Oleh-oleh khas wajib, keluarga besar",Buah tangan andalan dari Lembang,,True
OO-AUD-016,brownies susu Lembang,PASS,,5,Bolu susu Lembang Cikole,kue_bolu_pastry,45.0,62.0,28.0,,Jarak belum dihitung,Bolu Susu,Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari,sedang,Oleh-oleh keluarga,Buah tangan,,True
OO-AUD-017,donat susu Lembang,PASS,,1,Donatsu - Donat Susu Lembang,kue_bolu_pastry,91.0,82.0,100.0,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-017,donat susu Lembang,PASS,,2,Pabrik Bolu Susu Lembang,kue_bolu_pastry,48.0,68.0,28.0,,Jarak belum dihitung,"Bolu Susu Original, Vanilla, Coklat, Red Velvet",Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari suhu ruang,sedang,"Oleh-oleh khas wajib, keluarga besar",Buah tangan andalan dari Lembang,,True
OO-AUD-017,donat susu Lembang,PASS,,3,Bolu susu Lembang Cikole,kue_bolu_pastry,45.0,62.0,28.0,,Jarak belum dihitung,Bolu Susu,Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari,sedang,Oleh-oleh keluarga,Buah tangan,,True
OO-AUD-017,donat susu Lembang,PASS,,4,Brownies Susu Lembang - Ini Asli Lembang,kue_bolu_pastry,44.5,61.0,28.0,,Jarak belum dihitung,Brownies susu aneka topping,Rp 35.000 - Rp 60.000,35000,60000,<50k,medium,4-5 hari,sedang,"Pecinta coklat, hantaran",Oleh-oleh alternatif selain bolu,review_text_low;price_estimate_medium_confidence,True
OO-AUD-017,donat susu Lembang,PASS,,5,"Siliwangi Bolu Kukus Lembang, Bandung",kue_bolu_pastry,43.5,69.0,18.0,,Jarak belum dihitung,"Bolu kukus (Black forest, Alpukat, dll)",Rp 34.000 - Rp 47.000,34000,47000,<50k,high,3-4 hari suhu ruang,sedang,"Keluarga, acara santai",Kue hantaran atau konsumsi rumah,,True
OO-AUD-018,almond crispy cheese Bandung,PASS,,1,Toko Kasohor Almond Crispy Cheese Bandung,kue_bolu_pastry,80.5,61.0,100.0,,Jarak belum dihitung,Almond Crispy Cheese,Rp 45.000 - Rp 80.000,45000,80000,<50k,high,1-2 bulan,tinggi,"Hadiah teman kantor, camilan ringan",Oleh-oleh berkelas dan praktis,,True
OO-AUD-018,almond crispy cheese Bandung,PASS,,2,Donatsu - Donat Susu Lembang,kue_bolu_pastry,41.0,82.0,0.0,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-018,almond crispy cheese Bandung,PASS,,3,Bandung Miyucheeze,kue_bolu_pastry,40.5,72.0,9.0,,Jarak belum dihitung,"Japanese Cheesecake, Cheese Tart",Rp 50.000 - Rp 100.000,50000,100000,50k-100k,medium,3-4 hari di kulkas,sedang,"Pecinta keju, keluarga, hadiah premium",Oleh-oleh premium untuk keluarga,price_estimate_medium_confidence,True
OO-AUD-018,almond crispy cheese Bandung,PASS,,4,"Siliwangi Bolu Kukus Lembang, Bandung",kue_bolu_pastry,34.5,69.0,0.0,,Jarak belum dihitung,"Bolu kukus (Black forest, Alpukat, dll)",Rp 34.000 - Rp 47.000,34000,47000,<50k,high,3-4 hari suhu ruang,sedang,"Keluarga, acara santai",Kue hantaran atau konsumsi rumah,,True
OO-AUD-018,almond crispy cheese Bandung,PASS,,5,Pabrik Bolu Susu Lembang,kue_bolu_pastry,34.0,68.0,0.0,,Jarak belum dihitung,"Bolu Susu Original, Vanilla, Coklat, Red Velvet",Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari suhu ruang,sedang,"Oleh-oleh khas wajib, keluarga besar",Buah tangan andalan dari Lembang,,True
OO-AUD-019,kue balok Lembang,PASS,,1,Kue Balok Jaya Giri,kue_bolu_pastry,81.0,64.0,98.0,,Jarak belum dihitung,Kue balok setengah matang dan matang,Rp 20.000 - Rp 35.000,20000,35000,<50k,medium,2-3 hari,rendah,Teman ngopi/ngeteh,Camilan sore,price_estimate_medium_confidence,True
OO-AUD-019,kue balok Lembang,PASS,,2,Donatsu - Donat Susu Lembang,kue_bolu_pastry,55.0,82.0,28.0,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-019,kue balok Lembang,PASS,,3,"Siliwangi Bolu Kukus Lembang, Bandung",kue_bolu_pastry,48.5,69.0,28.0,,Jarak belum dihitung,"Bolu kukus (Black forest, Alpukat, dll)",Rp 34.000 - Rp 47.000,34000,47000,<50k,high,3-4 hari suhu ruang,sedang,"Keluarga, acara santai",Kue hantaran atau konsumsi rumah,,True
OO-AUD-019,kue balok Lembang,PASS,,4,Pabrik Bolu Susu Lembang,kue_bolu_pastry,48.0,68.0,28.0,,Jarak belum dihitung,"Bolu Susu Original, Vanilla, Coklat, Red Velvet",Rp 35.000 - Rp 55.000,35000,55000,<50k,high,3-4 hari suhu ruang,sedang,"Oleh-oleh khas wajib, keluarga besar",Buah tangan andalan dari Lembang,,True
OO-AUD-019,kue balok Lembang,PASS,,5,Kartika Sari Lembang,kue_bolu_pastry,45.5,63.0,28.0,,Jarak belum dihitung,"Pisang Bollen, Brownies panggang, Cheese roll",Rp 50.000 - Rp 120.000,50000,120000,50k-100k,high,3-5 hari,sedang,"Keluarga besar, kolega, oleh-oleh premium",Hantaran resmi,,True
OO-AUD-020,makanan fresh Lembang,PASS,,1,Donatsu - Donat Susu Lembang,kue_bolu_pastry,72.76,82.0,40.0,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
OO-AUD-020,makanan fresh Lembang,PASS,,2,Pabrik Tahu PD Uties,tahu_tempe,59.64,68.0,30.0,,Jarak belum dihitung,"Tahu segar, tempe, olahan kedelai",Rp 5.000 - Rp 25.000,5000,25000,<50k,medium,1-2 hari (mentah),rendah,"Ibu rumah tangga, pecinta kuliner tahu",Bahan masakan di rumah pasca liburan,opening_hours_unavailable;price_estimate_medium_confidence,True
OO-AUD-020,makanan fresh Lembang,PASS,,3,Serba Susu Lembang,olahan_susu,58.16,74.0,2.0,,Jarak belum dihitung,"Permen susu, Susu murni botol, Yoguroll, Bola-bola susu",Rp 15.000 - Rp 85.000,15000,85000,<50k,high,"Susu murni (1-2 hari dingin), permen (berbulan-bulan)",tinggi,"Anak-anak, pecinta susu, keluarga","Oleh-oleh sehat, konsumsi harian",,True
OO-AUD-020,makanan fresh Lembang,PASS,,4,Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung,haji_umroh_kurma,57.38,73.0,2.0,,Jarak belum dihitung,"Kurma, kismis, air zamzam, hampers haji/umroh",Rp 35.000 - Rp 300.000+,35000,300000,<50k,medium,Berbulan-bulan hingga 1 tahun,tinggi,"Jamaah haji/umroh, hadiah religius",Paket oleh-oleh ibadah,category_coverage_low;price_estimate_medium_confidence,True
OO-AUD-020,makanan fresh Lembang,PASS,,5,Bandung Miyucheeze,kue_bolu_pastry,56.16,72.0,0.0,,Jarak belum dihitung,"Japanese Cheesecake, Cheese Tart",Rp 50.000 - Rp 100.000,50000,100000,50k-100k,medium,3-4 hari di kulkas,sedang,"Pecinta keju, keluarga, hadiah premium",Oleh-oleh premium untuk keluarga,price_estimate_medium_confidence,True
OO-AUD-020,makanan fresh Lembang,PASS,,6,"Siliwangi Bolu Kukus Lembang, Bandung",kue_bolu_pastry,56.02,69.0,10.0,,Jarak belum dihitung,"Bolu kukus (Black forest, Alpukat, dll)",Rp 34.000 - Rp 47.000,34000,47000,<50k,high,3-4 hari suhu ruang,sedang,"Keluarga, acara santai",Kue hantaran atau konsumsi rumah,,True
OO-AUD-021,makanan basah langsung dimakan,PASS,,1,Donatsu - Donat Susu Lembang,kue_bolu_pastry,70.01,82.0,27.5,,Jarak belum dihitung,"Donat susu berbagai topping (Milky cream, tabur, kreasi)",Rp 40.000 - Rp 90.000,40000,90000,<50k,high,1-3 hari,rendah,"Keluarga, anak-anak, penggemar makanan manis",Camilan di jalan atau oleh-oleh cepat saji,,True
