penginapan_id,name,property_type,property_type_final,property_type_final_after_p3,price_lowest,overall_rating,reviews,same_name_count_p3,candidate_parent_name,p3_decision,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,p3_note
LODGE-00090,Daymentroom R30 Apartemen 2 BR di Pasteur Bandung,apartment,apartment,apartment,492303.0,4.5944,88.0,1,Daymentroom R30 Apartemen di Pasteur Bandung,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00105,Daymentroom Apartemen R32 2 BR Pasteur Bandung,apartment,apartment,apartment,428582.0,4.65,57.0,1,Daymentroom Apartemen R32 Pasteur Bandung,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00127,The Edge By Orin - Deluxe Double Room,apartment,apartment,apartment,270910.0,,,1,The Edge By Orin,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00135,Daymentroom Apartemen R711 2 BR Pasteur Bandung,apartment,apartment,apartment,500000.0,3.5,4.0,2,Daymentroom Apartemen R711 Pasteur Bandung,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00173,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01 - Deluxe Room,apartment,apartment,apartment,311864.0,,,1,Redliving Apartement gateway Pasteur-TN Hospitality Tower Topaz C Bs 01,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00177,The Edge By Orin - Apartment,apartment,apartment,apartment,168860.0,,,1,The Edge By Orin,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00178,The Edge By Orin - Standard Double Room,apartment,apartment,apartment,169338.0,,,1,The Edge By Orin,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00192,Villa roseane - Two-Bedroom Villa,villa,villa,villa,1981107.0,,,1,Villa roseane,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00202,"High Livin Apartment Pasteur - Apartment, 3 Bedrooms",apartment,apartment,apartment,287436.0,,,1,High Livin Apartment Pasteur,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00220,Ayre House-A House for Nice Family @Bandung,hotel,hotel,vacation_rental,,5.0,3.0,1,Ayre House-A House for Nice Family @Bandung,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00229,"Family Staycation, Near Lembang With Complete Facilities - Two-Bedroom House",apartment,apartment,vacation_rental,,,,1,"Family Staycation, Near Lembang With Complete Facilities",secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00231,Hanara Bohemian Villa - One-Bedroom Villa,villa,villa,villa,1374546.0,,,1,Hanara Bohemian Villa,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00242,Parahyangan Lakeview Villa - KBP - One-Bedroom Villa,villa,villa,villa,6801361.0,,,1,Parahyangan Lakeview Villa,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00250,Wakeqi Villa Strategis di Cimahi - One-Bedroom Villa,villa,villa,villa,,,,1,Wakeqi Villa Strategis di Cimahi,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00272,2Bedroom Seventeen - The EDGE Apartment,apartment,apartment,apartment,,,,1,2Bedroom Seventeen,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00304,Lovina Nature House - Two-Bedroom House,apartment,apartment,vacation_rental,,,,1,Lovina Nature House,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00323,The Edge Baros 1 BR,apartment,apartment,apartment,,,,1,The Edge Baros,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00348,3Bedroom Seventeen - The EDGE Apartment,apartment,apartment,apartment,,,,1,3Bedroom Seventeen,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00385,Villa Koji Lembang - One-Bedroom House,villa,villa,villa,,,,1,Villa Koji Lembang,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00387,Villa Skyvan - Cisarua Lembang - One-Bedroom Villa,villa,villa,villa,,,,1,Villa Skyvan,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00390,homestay Bumisarehat - One-Bedroom House,apartment,apartment,vacation_rental,,,,1,homestay Bumisarehat,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00412,Pakuhaji Highland Eco-Resort - Standard Villa,villa,villa,villa,,,,1,Pakuhaji Highland Eco-Resort,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00486,Nimo Tea Resort - Standard Villa,villa,villa,villa,,,,1,Nimo Tea Resort,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00498,RedDoorz near Situ Cileunca Pangalengan - Single Room,hotel,hotel,hotel,,,,1,RedDoorz near Situ Cileunca Pangalengan,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00499,Bumina EENK - Two-Bedroom House,apartment,apartment,vacation_rental,,,,1,Bumina EENK,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00500,Nimo Tea Resort - One-Bedroom Villa,villa,villa,villa,,,,1,Nimo Tea Resort,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00505,Villa Penginapan Purnama - Standard Double Room,villa,villa,villa,181320.0,2.0,1.0,2,Villa Penginapan Purnama,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00513,Villa Penginapan Purnama - Standard Double Room,villa,villa,villa,181320.0,2.0,1.0,2,Villa Penginapan Purnama,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00526,Aubrey Villa Ciwidey - One-Bedroom Villa,villa,villa,villa,300473.0,,,1,Aubrey Villa Ciwidey,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00527,Ciwidey Jungle Villa - One-Bedroom Villa,villa,villa,villa,,4.25,8.0,4,Ciwidey Jungle Villa,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00528,Ciwidey Jungle Villa - One-Bedroom Villa,villa,villa,villa,,4.25,8.0,4,Ciwidey Jungle Villa,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00529,Ciwidey Jungle Villa - One-Bedroom Villa,villa,villa,villa,,4.25,8.0,4,Ciwidey Jungle Villa,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00530,Ciwidey Jungle Villa - One-Bedroom Villa,villa,villa,villa,,4.25,8.0,4,Ciwidey Jungle Villa,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00531,Ciwidey Jungle Villa - Two-Bedroom Villa,villa,villa,villa,,4.25,8.0,1,Ciwidey Jungle Villa,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00544,Unit Gypsea Villa Deba Sugihmukti - Two-Bedroom Villa,villa,villa,villa,3296370.0,,,2,Unit Gypsea Villa Deba Sugihmukti,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00548,Villa Bima Syandana Resort - Two-Bedroom Villa,villa,villa,villa,,2.75,2.0,2,Villa Bima Syandana Resort,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00549,Villa Penginapan Purnama - Double Room with Private Bathroom,villa,villa,villa,,2.0,1.0,1,Villa Penginapan Purnama,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00550,Villa Penginapan Purnama - One-Bedroom Villa,villa,villa,villa,,2.0,1.0,1,Villa Penginapan Purnama,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00551,Villa Penginapan Purnama - Two-Bedroom Villa,villa,villa,villa,,2.0,1.0,1,Villa Penginapan Purnama,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00592,Unit Gypsea Villa Deba Sugihmukti - Two-Bedroom Villa,villa,villa,villa,3298767.0,,,2,Unit Gypsea Villa Deba Sugihmukti,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00598,Villa Bima Syandana Resort - Two-Bedroom Villa,villa,villa,villa,,2.75,2.0,2,Villa Bima Syandana Resort,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00620,Guest House Shakilla 2 Rancagoong Syariah - Two-Bedroom House,apartment,apartment,vacation_rental,998395.0,,,1,Guest House Shakilla 2 Rancagoong Syariah,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00622,Penginapan Pangalengan Bumi Saddam Palayangan - One-Bedroom Villa,villa,villa,villa,,4.5,4.0,1,Penginapan Pangalengan Bumi Saddam Palayangan,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00623,Roemah Oelin Villa - Two-Bedroom Villa,villa,villa,villa,,5.0,2.0,1,Roemah Oelin Villa,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00633,Buah sebelas homestay villa - Double or Twin Room,villa,villa,villa,,,,1,Buah sebelas homestay villa,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00636,Ciwidey Hills Wetland Deluxe 1 - One-Bedroom Villa,villa,villa,villa,,,,2,Ciwidey Hills Wetland Deluxe 1,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00637,Ciwidey Hills Wetland Family 1 - One-Bedroom Villa,villa,villa,villa,,,,2,Ciwidey Hills Wetland Family 1,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00640,Indonesia Village - Double Room,villa,villa,villa,,5.0,4.0,1,Indonesia Village,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00641,Kyara Resort Ciwidey - One-Bedroom Villa,villa,villa,villa,4057272.0,,,1,Kyara Resort Ciwidey,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00643,Penginapan Cimanggu forest - One-Bedroom House,apartment,apartment,vacation_rental,,,,1,Penginapan Cimanggu forest,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00645,Puri Sakanti Nature Family Resort - Villa One,villa,villa,villa,,4.8,16.0,1,Puri Sakanti Nature Family Resort,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00646,Riverside cabin - Two-Bedroom Villa,villa,villa,villa,,,,2,Riverside cabin,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00650,Villa CHW Deluxe 2,villa,villa,villa,634351.0,,,1,Villa CHW Deluxe 2,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00651,Villa Duaempat - One-Bedroom Villa,villa,villa,villa,,,,1,Villa Duaempat,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00654,Villa Nadiviya - One-Bedroom Villa,villa,villa,villa,,,,3,Villa Nadiviya,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00655,Villa Nadiviya - One-Bedroom Villa,villa,villa,villa,,,,3,Villa Nadiviya,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00656,Villa Nadiviya - One-Bedroom Villa,villa,villa,villa,,,,3,Villa Nadiviya,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00658,Villa Nadiviya - Two-Bedroom Villa,villa,villa,villa,,,,1,Villa Nadiviya,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00662,wisma pasundan - One-Bedroom Villa,villa,villa,villa,,,,1,wisma pasundan,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00681,Ciwidey Hills Wetland Deluxe 1 - One-Bedroom Villa,villa,villa,villa,,,,2,Ciwidey Hills Wetland Deluxe 1,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00682,Ciwidey Hills Wetland Family 1 - One-Bedroom Villa,villa,villa,villa,,,,2,Ciwidey Hills Wetland Family 1,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00693,"Glamping Ciwidey Argapuri - Panoramic Cabin, 1 Bedroom, Smoking, Mountain View",vacation_rental,vacation_rental,vacation_rental,,,,1,Glamping Ciwidey Argapuri,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00698,Homestay putih alenda - One-Bedroom House,apartment,apartment,vacation_rental,,,,1,Homestay putih alenda,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00710,PinkHomestay Ciwidey - Two-Bedroom House,apartment,apartment,vacation_rental,,,,1,PinkHomestay Ciwidey,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00713,Riverside cabin - Two-Bedroom Villa,villa,villa,villa,,,,2,Riverside cabin,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00735,Villa CHW Deluxe 1,villa,villa,villa,,,,1,Villa CHW Deluxe 1,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00746,Villa Nadiviya N01 - Two-Bedroom Villa,villa,villa,villa,,,,1,Villa Nadiviya N01,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00747,Villa Situ Patenggang - Standard Villa,villa,villa,villa,,,,1,Villa Situ Patenggang,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00767,Baleluhur Villa Ciwidey - Double Room,villa,villa,villa,,,,1,Baleluhur Villa Ciwidey,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00779,Penginapan sweety homestays Villas - Two-Bedroom Villa,villa,villa,villa,,,,1,Penginapan sweety homestays Villas,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00780,Perfect 3-bedroom bungalow in Ciwidey with stunning views,vacation_rental,vacation_rental,vacation_rental,,,,1,Perfect 3-bedroom bungalow in Ciwidey with stunning views,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00792,villa kayu argapuri resort ciwidey - One-Bedroom Villa,villa,villa,villa,,,,1,villa kayu argapuri resort ciwidey,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00802,Skyline BlueDome Villa Ciwidey - Two-Bedroom Villa,villa,villa,villa,,,,1,Skyline BlueDome Villa Ciwidey,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00803,Villa - Two-Bedroom House,villa,villa,villa,,,,1,Villa,hold_generic_detail_listing,held_generic_detail_listing,False,False,False,Nama terlalu generik untuk dijadikan parent atau secondary tanpa sumber tambahan.
LODGE-00808,Indonesian Village Jaya - Double Room,villa,villa,villa,,,,1,Indonesian Village Jaya,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00833,Villa Lembang Bunda - Deluxe Room,villa,villa,villa,137655.0,,,1,Villa Lembang Bunda,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00834,Villa Lembang Bunda - Deluxe Triple Room,villa,villa,villa,139082.0,,,1,Villa Lembang Bunda,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00835,Villa Lembang Bunda - Standard Single Room,villa,villa,villa,137655.0,,,1,Villa Lembang Bunda,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00842,Villa Bumisoka - Two-Bedroom House,villa,villa,villa,1311515.0,,,1,Villa Bumisoka,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-00843,Villa Niscala 1A - One-Bedroom Villa,villa,villa,villa,,,,1,Villa Niscala 1A,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00844,Villa Niscala 1B - One-Bedroom Villa,villa,villa,villa,,,,1,Villa Niscala 1B,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00845,Villa Refa-1 Cihanjawar - One-Bedroom Villa,villa,villa,villa,,,,2,Villa Refa-1 Cihanjawar,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00847,Villa Refa-1 Cihanjawar - One-Bedroom Villa,villa,villa,villa,,,,2,Villa Refa-1 Cihanjawar,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00848,Villa Refa-2 Cihanjawar - Two-Bedroom Villa,villa,villa,villa,,,,1,Villa Refa-2 Cihanjawar,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00918,Griya Mas The Jarrdin - Apartment,apartment,apartment,apartment,433293.0,2.25,2.0,1,Griya Mas The Jarrdin,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00951,Kulem Cisitu - Apartment,apartment,apartment,apartment,1007808.0,4.95,8.0,1,Kulem Cisitu,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00962,Moment Villa - Deluxe Villa,villa,villa,villa,4031055.0,4.5,3.0,1,Moment Villa,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00970,Over Easy Apartment - Apartment - Ground Floor,apartment,apartment,apartment,1511712.0,4.0,2.0,1,Over Easy Apartment,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-01023,Ronia Mountain Villa Lembang - Family Room with Garden View,villa,villa,villa,731606.0,4.0,6.0,1,Ronia Mountain Villa Lembang,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-01035,Scandinavian Asia Afrika - Apartment,apartment,apartment,apartment,374451.0,3.85,7.0,1,Scandinavian Asia Afrika,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-01098,2 BR Elegant Apartment - 5 Minutes Walk from Braga,apartment,apartment,apartment,858982.0,4.75,2.0,1,2 BR Elegant Apartment,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-01105,Apartemen Mekarwangi Square 12 A 2 BR Max 6 orang,apartment,apartment,apartment,77919.0,2.0,2.0,1,Apartemen Mekarwangi Square 12 A Max 6 orang,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-01247,Double R Villa F11 Dago Village - Villa,villa,villa,villa,17035600.0,4.5,2.0,1,Double R Villa F11 Dago Village,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-01254,Green Forest Plantation View 6BR with Infinity Pool,vacation_rental,vacation_rental,vacation_rental,8711336.0,3.8222,9.0,1,Green Forest Plantation View with Infinity Pool,secondary_large_unit,secondary_large_unit,False,True,False,"Unit besar/rombongan disimpan sebagai secondary, bukan ranking utama."
LODGE-01290,Nata Villa Syariah close to Telkom - Two-Bedroom House,villa,villa,villa,715000.0,4.35,7.0,1,Nata Villa Syariah close to Telkom,secondary_house_or_cabin_unit,secondary_house_or_cabin_unit,False,True,False,House/cabin/homestay lebih cocok sebagai secondary unit/properti rombongan.
LODGE-01312,Ronia Mountain Villa Lembang - Double Room with Garden View,villa,villa,villa,366070.0,4.0,12.0,1,Ronia Mountain Villa Lembang,hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-01329,Villa 325 By Zuzu - Standard Studio,villa,villa,villa,690595.0,5.0,1.0,1,Villa 325 By Zuzu,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-01340,Apartemen Tera Residence - Apartment with Balcony,apartment,apartment,apartment,503900.0,4.5,8.0,1,Apartemen Tera Residence,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
