location_id,location_name,price_min,price_max,price_type,price_source,price_last_checked,price_status,price_source_name,price_source_quality,price_notes,price_bucket
LOC-038,Gn. Tangkuban Parahu,30000,300000,Tiket masuk,https://travelspromo.com/htm-wisata/gunung-tangkuban-perahu-lembang/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber sekunder menyebut WNI Rp30.000-Rp40.000 dan WNA Rp200.000-Rp300.000. Dipakai rentang min WNI weekday sampai WNA weekend.,Sedang
LOC-043,Happyfarm Ciwidey,10000,10000,Tiket masuk,https://travelspromo.com/htm-wisata/happy-farm-ciwidey/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber sekunder menyebut tiket masuk Happy Farm Ciwidey Rp10.000; wahana terpisah.,Murah
LOC-045,Jendela Alam,18656,23320,Tiket masuk,https://www.tiket.com/id-id/to-do/tiket-jendela-alam-admission-ticket-in-bandung,2026-05-06,Valid - Ticketing Platform,tiket.com,Ticketing platform,Harga dari platform ticketing; dapat berubah sesuai tanggal/promo.,Murah
LOC-050,Kawah Putih,29450,90000,Tiket masuk,https://www.tiket.com/id-id/to-do/activity-kawah-putih-ticket,2026-05-06,Valid - Ticketing Platform,tiket.com,Ticketing platform,tiket.com mencantumkan tiket Wisatawan Nusantara dan Mancanegara. Harga promo dapat berubah.,Sedang
LOC-051,Kebun Begonia Lembang,30000,30000,Tiket masuk,https://www.instagram.com/p/Cy-IBUyPXgy/,2026-05-06,Valid - Official Social Media,Instagram resmi Kebun Begonia,Official social media,Akun resmi menyebut mulai 1 November 2023 tiket masuk menjadi Rp30.000. Perlu cek ulang bila ada update setelah itu.,Sedang
LOC-052,Kebun Binatang Bandung,50000,60000,Tiket masuk,https://hargacampur.com/harga-tiket-masuk-kebun-binatang-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Hargacampur,Secondary source,"Sumber sekunder menyebut weekday Rp50.000 dan weekend/libur Rp60.000; Bandung Zoo sempat memiliki info operasional khusus, perlu verifikasi ke pengelola.",Sedang
LOC-053,Lembang Park & Zoo,65000,85000,Tiket masuk domestik/WNI,https://www.lembangparkzoo.co.id/,2026-05-06,Valid - Official Website,Lembang Park & Zoo,Official website,Website resmi mencantumkan harga tiket domestik/WNI weekday Rp65.000 dan weekend Rp85.000.,Sedang
LOC-055,Maribaya Natural Hotspring Resort,45000,45000,Tiket masuk,https://maribayaresort.com/product/tiket-masuk,2026-05-06,Valid - Official Website,Maribaya Natural Hot Spring Resort,Official website,Halaman tiket resmi Maribaya mencantumkan tiket masuk Rp45.000.,Sedang
LOC-060,Museum Geologi Bandung,3000,25000,Tiket masuk,https://geologi.esdm.go.id/mg,2026-05-06,Valid - Government,Museum Geologi - Kementerian ESDM,Government/official website,"Website Museum Geologi ESDM mencantumkan pelajar/mahasiswa Rp3.000, umum Rp5.000, wisatawan asing Rp25.000.",Murah
LOC-061,Museum Konferensi Asia Afrika,0,0,Tiket masuk,https://www.instagram.com/mkaa_kemlu/,2026-05-06,Valid - Official Social Media,Museum KAA Kemlu,Official social media,Akun resmi Museum KAA menyebut Free Entry/gratis. Reservasi tetap mengikuti ketentuan museum.,Gratis
LOC-063,Museum Sri Baduga,2000,5000,Tiket masuk,https://travelspromo.com/htm-wisata/museum-sri-baduga-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,"Sumber sekunder menyebut anak domestik Rp2.000, dewasa domestik Rp3.000, mancanegara Rp5.000. Perlu cek ke museum/pengelola.",Murah
LOC-064,Nimo Highland,30000,60000,Tiket masuk / paket,https://www.tiket.com/id-id/to-do/nimo-highland,2026-05-06,Valid - Ticketing Platform,tiket.com,Ticketing platform,tiket.com menyebut tiket Nimo Highland mulai Rp30.000 sampai Rp60.000 bergantung paket.,Sedang
LOC-065,Orchid Forest Cikole,49000,51000,Tiket masuk,https://www.perhutani.co.id/tiket-masuk-orchid-forest-cikole-2025-untuk-weekday-dan-weekend/,2026-05-06,Valid - Government/BUMN,Perhutani,Government/BUMN,"Artikel Perhutani menyebut tiket Orchid Forest Cikole 2025 untuk weekday/weekend, termasuk LHI.",Sedang
LOC-070,Penangkaran Rusa Ranca Upas,25000,28000,Tiket masuk kawasan,https://www.traveloka.com/id-id/activities/indonesia/product/ranca-upas-4848580687698,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Sumber ticketing menyebut tiket masuk wisata Ranca Upas Rp25.000-Rp28.000 dan termasuk akses penangkaran rusa.,Murah
LOC-073,Ranca Upas Ciwidey,25000,44000,Tiket masuk / camping,https://www.traveloka.com/id-id/activities/indonesia/product/ranca-upas-4848580687698,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Tiket wisata per orang sekitar Rp25.000-Rp28.000; tiket camping Rp40.000-Rp44.000.,Murah
LOC-077,Saung Angklung Udjo,60000,85000,Tiket pertunjukan,https://angklung-udjo.co.id/,2026-05-06,Valid - Official Website,Saung Angklung Udjo,Official website,Website resmi menampilkan review terverifikasi dan informasi pembelian; harga yang disebut: anak Rp60.000 dan dewasa Rp85.000.,Sedang
LOC-082,Situ Patenggang Ciwidey Bandung,25000,100000,Tiket masuk / paket,https://glampinglakesideofficial.com/products/paket-glamping-lakeside,2026-05-06,Valid - Official Website,Glamping Lakeside Official,Official website,"Sumber resmi Glamping Lakeside/Situ Patenggang mencantumkan tiket HTM Rp25.000, paket Rp50.000, VIP Rp100.000.",Murah
LOC-091,Taman Hutan Raya Ir. H. Djuanda,17000,57000,Tiket masuk,https://jabarprov.go.id/berita/alternatif-wisata-lebaran-tahura-djuanda-bandung-hadirkan-alam-dan-edukasi-23562,2026-05-06,Valid - Government,Pemerintah Provinsi Jawa Barat,Government portal,Jabarprov menyebut tiket domestik Rp17.000 dan mancanegara Rp57.000.,Murah
LOC-094,Taman Lalu Lintas Ade Irma Suryani Nasution,15000,15000,Tiket masuk,https://prfmnews.pikiran-rakyat.com/pariwisata/pr-1310084174/jadwal-buka-dan-harga-tiket-taman-lalu-lintas-bandung-cocok-untuk-jadi-tujuan-libur-lebaran-bersama-anak,2026-05-06,Estimated - Perlu Cek Ulang,PRFM News,Media lokal,Sumber Maret 2026 menyebut tiket masuk Taman Lalu Lintas Bandung Rp15.000; wahana terpisah.,Murah
LOC-097,Taman Lembah Dewata,29860,30159,Tiket masuk,https://www.tiket.com/id-id/to-do/taman-lembah-dewata,2026-05-06,Valid - Ticketing Platform,tiket.com,Ticketing platform,Harga di platform ticketing dapat berubah sesuai tanggal/promo.,Sedang
LOC-100,Tebing Karaton,17000,57000,Tiket masuk kawasan Tahura/Tebing Keraton,https://jabarprov.go.id/berita/alternatif-wisata-lebaran-tahura-djuanda-bandung-hadirkan-alam-dan-edukasi-23562,2026-05-06,Valid - Government,Pemerintah Provinsi Jawa Barat,Government portal,Tebing Keraton berada dalam kawasan Tahura; Jabarprov menyebut tiket Tahura domestik Rp17.000 dan mancanegara Rp57.000.,Murah
LOC-103,The Great Asia Africa,50000,50000,Tiket masuk,https://travelspromo.com/htm-wisata/the-great-asia-afrika-harga-tiket-jam-buka-wahana/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber sekunder menyebut tiket masuk The Great Asia Africa Rp50.000.,Sedang
LOC-105,The Lodge Maribaya,55250,123250,Tiket masuk / tiket terusan,https://www.traveloka.com/id-id/activities/indonesia/product/the-lodge-maribaya-3896630162230,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Traveloka menyebut tiket The Lodge Maribaya mulai Rp55.250 dan tiket terusan mulai Rp123.250.,Sedang
LOC-108,Trans Studio Bandung,128250,300000,Tiket masuk,https://www.transentertainment.com/transstudio/bandung,2026-05-06,Valid - Official Website,Trans Studio Bandung,Official website,Sumber resmi Trans Studio Bandung/Trans Entertainment; harga dapat berubah sesuai tanggal dan paket.,Mahal
LOC-115,Wisata Hutan Pinus Pal 16 Cikole Lembang,5000,5000,Tiket masuk,https://www.perhutani.co.id/destinasi-liburanmu-hutan-pinus-yang-sederhana-di-bandung/,2026-05-06,Valid - Government/BUMN,Perhutani,Government/BUMN,Artikel Perhutani menyebut tiket wisata Hutan Pinus Pal 16 Cikole Rp5.000.,Murah
LOC-117,Kiara Artha Park,10000,10000,Tiket masuk,https://travelspromo.com/htm-wisata/kiara-artha-park-tiket-masuk-fasilitas-dan-lokasi/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber menyebut tiket masuk Kiara Artha Park Rp10.000; ada info promo/ketentuan berbeda per waktu.,Murah
LOC-118,Forest Walk Babakan Siliwangi,0,0,Tiket masuk,https://travelspromo.com/htm-wisata/forest-walk-babakan-siliwangi/,2026-05-06,Estimated - Free / Perlu Cek Ulang,Travelspromo,Secondary source,Sumber menyebut Forest Walk Babakan Siliwangi tidak memungut tiket masuk; hanya parkir.,Gratis
LOC-120,Rumah Guguk,70000,90000,Tiket masuk,https://www.traveloka.com/id-id/activities/indonesia/product/tiket-rumah-guguk-2001437522979,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Traveloka menyebut weekday Rp70.000 dan weekend/libur nasional Rp90.000.,Sedang
LOC-121,NuArt Sculpture Park,50000,100000,Tiket masuk,https://www.traveloka.com/id-id/activities/indonesia/product/nuart-sculpture-park-tickets-2000347975903,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Traveloka menyebut weekday Rp50.000-Rp75.000 dan weekend/libur Rp75.000-Rp100.000.,Sedang
LOC-123,Museum Pendidikan Nasional UPI,5000,50000,Tiket masuk,https://museumpendidikannasional.upi.edu/informasi-layanan-kunjungan-museum-pendidikan-nasional/,2026-05-06,Valid - Official Website,Museum Pendidikan Nasional UPI,Official website,"Website resmi menyebut Mahasiswa UPI Rp5.000, pelajar Rp10.000, umum Rp15.000, wisatawan asing Rp50.000.",Murah
LOC-124,Museum Barli,20000,25000,Tiket masuk,https://atourin.com/destination/bandung/museum-barli,2026-05-06,Estimated - Perlu Cek Ulang,Atourin,Tourism platform,Sumber pariwisata menyebut kisaran harga Museum Barli. Perlu cek ke pengelola karena bukan sumber resmi utama.,Murah
LOC-126,Lawangwangi Creative Space,0,0,Tiket masuk galeri,https://artsociatescafe.com/tncs,2026-05-06,Valid - Official Website,Lawangwangi / Artsociates Cafe,Official website,FAQ/ketentuan resmi menyebut akses galeri tidak dikenakan biaya masuk.,Gratis
LOC-127,Sarae Hills,50000,90000,Tiket masuk / paket,https://travelspromo.com/htm-wisata/sarae-hills-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber menyebut tiket reguler Rp50.000/Rp60.000 dan all package Rp80.000/Rp90.000; akun resmi juga sering memberi promo.,Sedang
LOC-130,Fairy Garden by The Lodge,65000,125000,Tiket masuk / terusan,https://travelspromo.com/htm-wisata/fairy-garden-lembang/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber sekunder menyebut tiket kawasan Rp65.000 dan tiket terusan Rp100.000-Rp125.000.,Sedang
LOC-132,Bird & Bromelia Pavilion,35000,50000,Tiket masuk,https://www.instagram.com/birdbromeliapavilion/,2026-05-06,Valid - Official Social Media,Instagram resmi Bird & Bromelia Pavilion,Official social media,Akun resmi mencantumkan weekday >2 tahun Rp35.000 dan weekend/PH >2 tahun Rp50.000; harga anak <2 tahun berbeda.,Sedang
LOC-136,Tepi Danau,20000,20000,Tiket masuk,https://dealls.com/pengembangan-karir/rekomendasi-wisata-lembang,2026-05-06,Estimated - Perlu Cek Ulang,Dealls / sumber rekomendasi wisata,Secondary source,Sumber menyebut tiket masuk Tepi Danau Rp20.000; perlu cek ke pengelola.,Murah
LOC-139,Kawah Rengganis Ciwidey,15000,100000,Tiket masuk / paket,https://kawahrengganis.com/berapa-harga-tiket-masuk-rengganis.html,2026-05-06,Estimated - Perlu Cek Ulang,Kawah Rengganis,Site pengelola/official-like,Sumber 2026 menyebut tiket standar Rp15.000; paket reguler/VIP dapat mencapai Rp70.000-Rp100.000.,Murah
LOC-140,Rengganis Suspension Bridge,70000,100000,Tiket bridge / paket,https://kawahrengganis.com/kawah-rengganis-suspension-bridge.html,2026-05-06,Estimated - Perlu Cek Ulang,Kawah Rengganis,Site pengelola/official-like,"Sumber Maret 2026 menyebut Rengganis Suspension Bridge Rp70.000, paket VIP Rp100.000.",Sedang
LOC-141,Taman Wisata Bougenville,35000,75000,Tiket masuk / terusan,https://travelspromo.com/htm-wisata/taman-wisata-bougenville-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber menyebut tiket masuk reguler Rp35.000; paket terusan dari sumber pembanding Rp55.000-Rp75.000.,Sedang
LOC-145,Palalangon Park,15000,30000,Tiket masuk,https://www.instagram.com/reel/DLJnzM6yHiR/,2026-05-06,Estimated - Perlu Cek Ulang,Instagram/reel wisata,Social media/secondary source,Sumber sosial terindeks menyebut tiket mulai Rp15.000; sumber lain menyebut kisaran Rp15.000-Rp30.000. Perlu cek pengelola Palalangon Park.,Murah
LOC-146,Taman Love Soreang,25000,30000,Tiket taman + kolam,https://travelspromo.com/htm-wisata/taman-love-soreang-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber menyebut weekday Rp25.000 dan weekend Rp30.000 untuk taman dan kolam renang.,Murah
LOC-147,Victory Waterpark Soreang,50000,60000,Tiket masuk,https://www.instagram.com/victorywaterpark_/,2026-05-06,Valid - Official Social Media,Instagram resmi Victory Waterpark,Official social media,Akun resmi menampilkan info HTM libur akhir tahun Rp50.000; post lain menyebut 60k. Dipakai rentang konservatif Rp50.000-Rp60.000.,Sedang
LOC-148,Pesona Nirwana Waterpark,40000,60000,Tiket masuk,https://www.traveloka.com/id-id/activities/indonesia/product/pesona-nirwana-waterpark-tickets-2001193248502,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,"Traveloka menyebut weekday Rp40.000, weekend Rp50.000, hari raya/libur panjang Rp60.000.",Sedang
LOC-161,Pemandian Air Panas Cibolang,25000,40000,Tiket reguler/VIP,https://travelspromo.com/htm-wisata/pemandian-air-panas-cibolang-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber sekunder menyebut tiket reguler Rp25.000 dan VIP Rp40.000.,Murah
LOC-167,Cicalengka Dreamland,20000,190000,Tiket masuk / paket,https://travelspromo.com/htm-wisata/cicalengka-dreamland-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber menyebut tiket anak/dewasa Rp20.000-Rp30.000 dan paket terusan hingga Rp190.000.,Murah
LOC-177,Wahoo Waterworld,92000,138000,Tiket masuk,https://www.wahoowaterworld.co.id/ticket-and-package,2026-05-06,Valid - Official Website,Wahoo Waterworld,Official website,"Website resmi mencantumkan tiket masuk 1 orang Rp92.000; tiket.com menampilkan pilihan weekend hingga sekitar Rp138.000, maka rentang digunakan sebagai konservatif.",Mahal
LOC-178,De'Ranch Lembang,26000,26000,Tiket masuk,https://atourin.com/destination/bandung/de-ranch,2026-05-06,Estimated - Perlu Cek Ulang,Atourin,Tourism platform,Atourin mencantumkan tiket masuk umum De Ranch Rp26.000; perlu cek pengelola untuk harga terbaru.,Sedang
LOC-179,Mini Mania Lembang,30000,80000,Tiket masuk / combo,https://www.cimorydairyland.com/artikel-wisata/wisata-minimania-lembang,2026-05-06,Valid - Official Website,Cimory Dairyland / Minimania,Official website,"Website resmi Cimory mencantumkan tiket Minimania Rp30.000, combo Rp50.000, combo+Sky Ride Rp70.000, combo+Go Kart Rp80.000.",Sedang
LOC-181,Noah's Park Lembang,0,0,Tiket masuk kawasan,https://www.instagram.com/noahsparkofficial/,2026-05-06,Valid - Official Social Media,Instagram resmi Noah's Park,Official social media,Akun resmi Noah’s Park mencantumkan Free Entry. Wahana seperti luge/ATV/archery terpisah.,Gratis
LOC-194,Sanghyang Tikoro,0,0,Tiket masuk,https://wisatabdg.com/sanghyang-tikoro/,2026-05-06,Estimated - Free / Perlu Cek Ulang,WisataBDG,Secondary source,Beberapa sumber wisata menyebut area Sanghyang Tikoro dapat dikunjungi tanpa tiket resmi; parkir/donasi mungkin ada. Perlu cek manual.,Gratis
LOC-200,Wisata Batu Kuda,10000,10000,Tiket masuk,https://www.perhutani.co.id/destinasi-wisata-murah-dan-tersembunyi-di-daerah-bandung/,2026-05-06,Valid - Government/BUMN,Perhutani,Government/BUMN,Artikel Perhutani menyebut harga tiket masuk Batu Kuda Rp10.000.,Murah
LOC-203,Masjid Raya Al-Jabbar,0,0,Tiket masuk masjid,https://masjidaljabbar.jabarprov.go.id/,2026-05-06,Estimated - Perlu Cek Manual,Masjid Raya Al-Jabbar / Pemprov Jabar,Government/official website,"Tidak ditemukan harga tiket masuk eksplisit. Karena fungsi utama masjid adalah ibadah/ruang publik, diisi 0 hanya sebagai estimasi; validasi manual tetap disarankan.",Gratis
LOC-208,Museum Kota Bandung,0,0,Tiket masuk,https://7summitstravel.com/news/view/1494,2026-05-06,Estimated - Free / Perlu Cek Ulang,7Summits Travel,Secondary source,Sumber menyebut tiket masuk Museum Kota Bandung gratis.,Gratis
LOC-210,Taman Sejarah Bandung,0,0,Tiket masuk,https://www.idntimes.com/travel/destination/wisata-taman-sejarah-bandung-00-8dwnx-7ds17x,2026-05-06,Estimated - Free / Perlu Cek Ulang,IDN Times,Media/secondary source,Sumber menyebut harga tiket Taman Sejarah Bandung gratis.,Gratis
LOC-211,Taman Vanda,0,0,Tiket masuk,https://decode.uai.ac.id/taman-vanda-pesona-baru-di-paris-van-java/,2026-05-06,Estimated - Free / Perlu Cek Ulang,deCODE UAI,Secondary source,Sumber menyebut Taman Vanda dapat diakses gratis.,Gratis
LOC-212,Taman Maluku,0,0,Tiket masuk,https://www.idntimes.com/travel/destination/wisata-taman-maluku-bandung-lokasi-sejarah-dan-aktivitasnya-01-813x8-z1bmyl,2026-05-06,Estimated - Free / Perlu Cek Ulang,IDN Times,Media/secondary source,Sumber menyebut tiket masuk Taman Maluku gratis.,Gratis
LOC-216,Panama Park 825,72000,100000,Tiket masuk playground/snow park,https://www.traveloka.com/id-id/activities/indonesia/product/joy-n-fun-panama-park-825-2001874971705,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Traveloka menyebut Joy n Fun Panama Park 825 weekday Rp72.000 dan weekend Rp90.000; sumber lain untuk snow park/playground dapat berbeda.,Sedang
LOC-217,Karang Setra Waterland,45000,50000,Tiket masuk,https://www.instagram.com/karangsetra_waterland/,2026-05-06,Valid - Official Social Media,Instagram resmi Karang Setra Waterland,Official social media,Akun resmi mencantumkan HTM weekday Rp45.000 dan weekend Rp50.000.,Sedang
LOC-218,Gedung Indonesia Menggugat,0,0,Tiket masuk/kunjungan,https://www.jabarprov.go.id/layanan/kunjungan-gedung-indonesia-menggugat,2026-05-06,Valid - Government,Pemerintah Provinsi Jawa Barat,Government portal,Layanan kunjungan Gedung Indonesia Menggugat melalui portal Jabar; tidak ada biaya tiket masuk yang dicantumkan.,Gratis
LOC-219,Museum Inggit Garnasih,0,0,Tiket masuk/kunjungan,https://www.jabarprov.go.id/layanan/kunjungan-rumah-bersejarah-inggit-garnasih-1,2026-05-06,Valid - Government,Pemerintah Provinsi Jawa Barat,Government portal,Layanan kunjungan Rumah Bersejarah Inggit Garnasih melalui portal Jabar; tidak ada biaya tiket masuk yang dicantumkan.,Gratis
LOC-224,Sungai Palayangan Rafting,175000,185000,Paket rafting,https://www.muararahonghills.com/blog/1697/update-harga-tiket-masuk-wisata-pangalengan-2026-wajib-tahu-sebelum-berangkat/,2026-05-06,Estimated - Perlu Cek Ulang,Muara Rahong Hills,Operator wisata/secondary source,"Sumber April 2026 menyebut rafting Sungai Palayangan mulai Rp175.000-Rp185.000 per orang, biasanya minimal 5 orang.",Premium
