query_id,query,expected,rank,match_expected,name,category,labels,price,rating,sentiment_used_for_ranking,distance_km,final_score,mall_penalty,reason_short
WQ03,wisata gratis Bandung,gratis atau sangat murah,1,True,Teras Sunda Cibiru,Tempat Budaya,Budaya; Gratis; Edukasi; Kuliner; Ramah Anak; Spot Foto,Gratis,4.61,0.8873,,77.39,1.0,Destinasi 'Teras Sunda Cibiru' sangat cocok dengan keinginan Anda mencari 'wisata gratis Bandung' (relevansi deskripsi 52.6%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 88.7%. Destinasi ini terpercaya dengan rating Google 4.61/5.0 dari t
WQ03,wisata gratis Bandung,gratis atau sangat murah,2,True,Alam Wisata Cimahi,Rekreasi Keluarga,Keluarga; Kuliner; Alam; Ramah Anak; Edukasi; Petualangan; Gratis; Spot Foto,Gratis,4.44,0.8353,,75.95,1.0,Destinasi 'Alam Wisata Cimahi' sangat cocok dengan keinginan Anda mencari 'wisata gratis Bandung' (relevansi deskripsi 54.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 83.5%. Destinasi ini terpercaya dengan rating Google 4.44/5.0 dari t
WQ03,wisata gratis Bandung,gratis atau sangat murah,3,True,Curug Ceret Pangalengan,Wisata Alam,Alam; Spot Foto; Outdoor; Santai/Healing; Gratis; Kuliner,Gratis,4.85,0.8909,,75.84,1.0,Destinasi 'Curug Ceret Pangalengan' sangat cocok dengan keinginan Anda mencari 'wisata gratis Bandung' (relevansi deskripsi 54.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 89.1%. Destinasi ini terpercaya dengan rating Google 4.85/5.0 d
WQ03,wisata gratis Bandung,gratis atau sangat murah,4,True,Lapangan Gasibu,Taman Kota,Santai/Healing; Gratis; Keluarga; Alam; Spot Foto; Kuliner,Gratis,4.61,0.8545,,75.21,1.0,Destinasi 'Lapangan Gasibu' sangat cocok dengan keinginan Anda mencari 'wisata gratis Bandung' (relevansi deskripsi 49.6%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 85.5%. Destinasi ini terpercaya dengan rating Google 4.61/5.0 dari tota
WQ03,wisata gratis Bandung,gratis atau sangat murah,5,True,Museum Inggit Garnasih,Tempat Belajar,Edukasi; Indoor; Gratis; Alam,Gratis,4.77,0.8856,,74.64,1.0,Destinasi 'Museum Inggit Garnasih' sangat cocok dengan keinginan Anda mencari 'wisata gratis Bandung' (relevansi deskripsi 44.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 88.6%. Destinasi ini terpercaya dengan rating Google 4.77/5.0 da
WQ04,wisata alam healing Bandung,alam/santai/outdoor,1,True,Wayang Windu Panenjoan,Wisata Alam,Alam; Spot Foto; Santai/Healing; Petualangan; Outdoor; Kuliner; Belanja,Rp 20.000 (Per Orang),4.78,0.9235,,88.93,1.0,Destinasi 'Wayang Windu Panenjoan' sangat cocok dengan keinginan Anda mencari 'wisata alam healing Bandung' (relevansi deskripsi 83.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 92.3%. Destinasi ini terpercaya dengan rating Google 4.78/
WQ04,wisata alam healing Bandung,alam/santai/outdoor,2,True,Situ Cileunca Pangalengan Bandung,Wisata Alam,Alam; Santai/Healing; Spot Foto; Outdoor; Ramah Anak; Kuliner; Petualangan,Rp 5.000 (Per Orang),4.56,0.8635,,88.05,1.0,Destinasi 'Situ Cileunca Pangalengan Bandung' sangat cocok dengan keinginan Anda mencari 'wisata alam healing Bandung' (relevansi deskripsi 88.9%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 86.4%. Destinasi ini terpercaya dengan rating G
WQ04,wisata alam healing Bandung,alam/santai/outdoor,3,True,Bukit Moko Bandung,Wisata Alam,Alam; Spot Foto; Santai/Healing; Outdoor; Malam; Ramah Anak; Kuliner,Rp 15.000 - Rp 30.000 (Per Orang),4.71,0.9235,,86.89,1.0,Destinasi 'Bukit Moko Bandung' sangat cocok dengan keinginan Anda mencari 'wisata alam healing Bandung' (relevansi deskripsi 78.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 92.3%. Destinasi ini terpercaya dengan rating Google 4.71/5.0 
WQ04,wisata alam healing Bandung,alam/santai/outdoor,4,True,Curug Aseupan,Wisata Alam,Alam; Spot Foto; Santai/Healing; Outdoor; Ramah Anak; Kuliner,Rp 10.000 - Rp 15.000 (Per Orang),4.76,0.8944,,86.2,1.0,Destinasi 'Curug Aseupan' sangat cocok dengan keinginan Anda mencari 'wisata alam healing Bandung' (relevansi deskripsi 79.6%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 89.4%. Destinasi ini terpercaya dengan rating Google 4.76/5.0 dari 
WQ04,wisata alam healing Bandung,alam/santai/outdoor,5,True,Tahura Gunung Kunci,Wisata Alam,Alam; Santai/Healing; Outdoor; Spot Foto; Ramah Anak; Edukasi,Rp 10.000 (Per Orang),4.5,0.8525,,86.17,1.0,Destinasi 'Tahura Gunung Kunci' sangat cocok dengan keinginan Anda mencari 'wisata alam healing Bandung' (relevansi deskripsi 80.9%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 85.2%. Destinasi ini terpercaya dengan rating Google 4.50/5.0
WQ05,wisata malam Bandung,malam/open night,1,True,Bukit Moko Bandung,Wisata Alam,Alam; Spot Foto; Santai/Healing; Outdoor; Malam; Ramah Anak; Kuliner,Rp 15.000 - Rp 30.000 (Per Orang),4.71,0.9235,,77.55,1.0,Destinasi 'Bukit Moko Bandung' sangat cocok dengan keinginan Anda mencari 'wisata malam Bandung' (relevansi deskripsi 51.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 92.3%. Destinasi ini terpercaya dengan rating Google 4.71/5.0 dari to
WQ05,wisata malam Bandung,malam/open night,2,True,Sudut Pandang Bandung,Tempat Kuliner,Kuliner; Santai/Healing; Malam; Alam; Spot Foto,Rp 75.000 - Rp 85.000 (Per Orang),4.58,0.8643,,75.74,1.0,Destinasi 'Sudut Pandang Bandung' sangat cocok dengan keinginan Anda mencari 'wisata malam Bandung' (relevansi deskripsi 49.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 86.4%. Destinasi ini terpercaya dengan rating Google 4.58/5.0 dari
WQ05,wisata malam Bandung,malam/open night,3,True,Lawangwangi Creative Space,Tempat Seni,Budaya; Spot Foto; Edukasi; Santai/Healing; Indoor; Malam; Alam; Kuliner,Rp 25.000 - Rp 200.000 (Per Orang),4.78,0.9326,,74.1,1.0,Destinasi 'Lawangwangi Creative Space' sangat cocok dengan keinginan Anda mencari 'wisata malam Bandung' (relevansi deskripsi 35.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 93.3%. Destinasi ini terpercaya dengan rating Google 4.78/5.0
WQ05,wisata malam Bandung,malam/open night,4,True,Terminal Wisata Grafika Cikole,Rekreasi Keluarga,Keluarga; Kuliner; Alam; Ramah Anak; Petualangan; Malam; Santai/Healing,Rp 20.000 (Per Orang),4.55,0.8455,,72.56,1.0,Destinasi 'Terminal Wisata Grafika Cikole' sangat cocok dengan keinginan Anda mencari 'wisata malam Bandung' (relevansi deskripsi 42.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 84.5%. Destinasi ini terpercaya dengan rating Google 4.55
WQ05,wisata malam Bandung,malam/open night,5,True,Bukit Bintang Bandung (Patahan Lembang),Wisata Alam,Alam; Spot Foto; Outdoor; Santai/Healing; Malam; Umum,Rp 15.000 - Rp 25.000 (Per Orang),4.67,0.8234,,71.27,1.0,Destinasi 'Bukit Bintang Bandung (Patahan Lembang)' sangat cocok dengan keinginan Anda mencari 'wisata malam Bandung' (relevansi deskripsi 52.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 82.3%. Destinasi ini terpercaya dengan rating Go
WQ06,wisata edukasi anak Bandung,edukasi dan/atau anak,1,True,Lembang Park & Zoo,Wisata Satwa,Keluarga; Edukasi; Ramah Anak; Outdoor; Spot Foto; Kuliner; Petualangan,Rp 65.000 - Rp 85.000 (Per Orang),4.93,0.9277,,83.92,1.0,Destinasi 'Lembang Park & Zoo' sangat cocok dengan keinginan Anda mencari 'wisata edukasi anak Bandung' (relevansi deskripsi 67.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 92.8%. Destinasi ini terpercaya dengan rating Google 4.93/5.0 
WQ06,wisata edukasi anak Bandung,edukasi dan/atau anak,2,True,Taman Kupu-Kupu Cihanjuang,Wisata Satwa,Edukasi; Keluarga; Ramah Anak; Outdoor; Spot Foto; Alam,Rp 20.000 (Per Orang),4.56,0.7844,,77.16,1.0,Destinasi 'Taman Kupu-Kupu Cihanjuang' sangat cocok dengan keinginan Anda mencari 'wisata edukasi anak Bandung' (relevansi deskripsi 72.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 78.4%. Destinasi ini terpercaya dengan rating Google 4
WQ06,wisata edukasi anak Bandung,edukasi dan/atau anak,3,True,Amazing Artgames,Rekreasi Keluarga,Keluarga; Edukasi; Spot Foto; Ramah Anak; Alam; Kuliner; Belanja; Petualangan,Rp 35.000 - Rp 50.000 (Per Orang),4.62,0.8995,,76.15,1.0,Destinasi 'Amazing Artgames' sangat cocok dengan keinginan Anda mencari 'wisata edukasi anak Bandung' (relevansi deskripsi 50.6%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 90.0%. Destinasi ini terpercaya dengan rating Google 4.62/5.0 da
WQ06,wisata edukasi anak Bandung,edukasi dan/atau anak,4,True,Cimory Dairyland Lembang,Wisata Satwa,Keluarga; Edukasi; Ramah Anak; Outdoor; Petualangan,Rp 15.000 - Rp 45.000 (Per Orang),4.5,0.7668,,65.93,1.0,Destinasi 'Cimory Dairyland Lembang' sangat cocok dengan keinginan Anda mencari 'wisata edukasi anak Bandung' (relevansi deskripsi 55.2%). Ulasan pengunjung didominasi respon positif dengan skor sentimen terkalibrasi 76.7%. Destinasi ini terpercaya dengan rating Google 4.50/5.0 d
WQ06,wisata edukasi anak Bandung,edukasi dan/atau anak,5,True,De'Ranch Lembang,Wisata Satwa,Keluarga; Ramah Anak; Edukasi; Outdoor; Alam; Kuliner; Santai/Healing,Rp 26.000 (Per Orang),3.68,0.6007,,62.86,1.0,Destinasi 'De'Ranch Lembang' sangat cocok dengan keinginan Anda mencari 'wisata edukasi anak Bandung' (relevansi deskripsi 59.3%). Ulasan pengunjung didominasi respon positif dengan skor sentimen terkalibrasi 60.1%. Destinasi ini terpercaya dengan rating Google 3.68/5.0 dari tota
WQ07,wisata indoor saat hujan Bandung,indoor/museum/mall/galeri,1,True,Lawangwangi Creative Space,Tempat Seni,Budaya; Spot Foto; Edukasi; Santai/Healing; Indoor; Malam; Alam; Kuliner,Rp 25.000 - Rp 200.000 (Per Orang),4.78,0.9326,,74.15,1.0,Destinasi 'Lawangwangi Creative Space' sangat cocok dengan keinginan Anda mencari 'wisata indoor saat hujan Bandung' (relevansi deskripsi 35.4%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 93.3%. Destinasi ini terpercaya dengan rating Goo
WQ07,wisata indoor saat hujan Bandung,indoor/museum/mall/galeri,2,True,Museum Inggit Garnasih,Tempat Belajar,Edukasi; Indoor; Gratis; Alam,Gratis,4.77,0.8856,,73.97,1.0,Destinasi 'Museum Inggit Garnasih' sangat cocok dengan keinginan Anda mencari 'wisata indoor saat hujan Bandung' (relevansi deskripsi 42.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 88.6%. Destinasi ini terpercaya dengan rating Google 
WQ07,wisata indoor saat hujan Bandung,indoor/museum/mall/galeri,3,True,Gedung Sate,Tempat Sejarah,Sejarah; Edukasi; Indoor; Budaya; Alam; Ramah Anak; Spot Foto; Kuliner; Belanja; Santai/Healing; Petualangan,Rp 5.000 (Per Orang),4.79,0.9155,,72.85,1.0,Destinasi 'Gedung Sate' sangat cocok dengan keinginan Anda mencari 'wisata indoor saat hujan Bandung' (relevansi deskripsi 37.7%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 91.5%. Destinasi ini terpercaya dengan rating Google 4.79/5.0 da
WQ07,wisata indoor saat hujan Bandung,indoor/museum/mall/galeri,4,True,Museum Konferensi Asia Afrika,Tempat Belajar,Edukasi; Indoor; Gratis; Sejarah; Alam; Ramah Anak; Spot Foto; Santai/Healing,Gratis,4.85,0.9315,,72.79,1.0,Destinasi 'Museum Konferensi Asia Afrika' sangat cocok dengan keinginan Anda mencari 'wisata indoor saat hujan Bandung' (relevansi deskripsi 35.2%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 93.2%. Destinasi ini terpercaya dengan rating 
WQ07,wisata indoor saat hujan Bandung,indoor/museum/mall/galeri,5,True,Saung Angklung Udjo,Tempat Seni,Budaya; Edukasi; Spot Foto; Indoor; Alam; Ramah Anak; Kuliner; Belanja; Petualangan,Rp 85.000 (Per Orang),4.87,0.9355,,72.24,1.0,Destinasi 'Saung Angklung Udjo' sangat cocok dengan keinginan Anda mencari 'wisata indoor saat hujan Bandung' (relevansi deskripsi 33.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 93.5%. Destinasi ini terpercaya dengan rating Google 4.8
WQ08,wisata ada mushola dan parkir Bandung,mushola/parkir/fasilitas,1,True,Alam Wisata Cimahi,Rekreasi Keluarga,Keluarga; Kuliner; Alam; Ramah Anak; Edukasi; Petualangan; Gratis; Spot Foto,Gratis,4.44,0.8353,,70.41,1.0,Destinasi 'Alam Wisata Cimahi' sangat cocok dengan keinginan Anda mencari 'wisata ada mushola dan parkir Bandung' (relevansi deskripsi 38.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 83.5%. Destinasi ini terpercaya dengan rating Google
WQ08,wisata ada mushola dan parkir Bandung,mushola/parkir/fasilitas,2,True,Terminal Wisata Grafika Cikole,Rekreasi Keluarga,Keluarga; Kuliner; Alam; Ramah Anak; Petualangan; Malam; Santai/Healing,Rp 20.000 (Per Orang),4.55,0.8455,,67.61,1.0,Destinasi 'Terminal Wisata Grafika Cikole' sangat cocok dengan keinginan Anda mencari 'wisata ada mushola dan parkir Bandung' (relevansi deskripsi 28.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 84.5%. Destinasi ini terpercaya dengan r
WQ08,wisata ada mushola dan parkir Bandung,mushola/parkir/fasilitas,3,True,The Lodge Maribaya,Rekreasi Keluarga,Keluarga; Alam; Spot Foto; Ramah Anak; Outdoor; Edukasi; Kuliner; Santai/Healing; Petualangan,Rp 50.000 - Rp 65.000 (Per Orang),4.75,0.8821,,67.31,1.0,Destinasi 'The Lodge Maribaya' sangat cocok dengan keinginan Anda mencari 'wisata ada mushola dan parkir Bandung' (relevansi deskripsi 24.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 88.2%. Destinasi ini terpercaya dengan rating Google
WQ08,wisata ada mushola dan parkir Bandung,mushola/parkir/fasilitas,4,True,The Nice Park Bandung,Rekreasi Keluarga,Keluarga; Ramah Anak; Alam; Santai/Healing; Outdoor; Kuliner; Belanja; Petualangan,Rp 30.000 - Rp 60.000 (Per Orang),4.96,0.9394,,67.0,1.0,Cocok secara kontekstual dengan preferensi pencarian Anda. Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 93.9%. Destinasi ini terpercaya dengan rating Google 4.96/5.0 dari total 381 ulasan.
WQ08,wisata ada mushola dan parkir Bandung,mushola/parkir/fasilitas,5,True,Wisata Kampoeng Ciherang,Rekreasi Keluarga,Keluarga; Alam; Petualangan; Ramah Anak; Santai/Healing; Outdoor; Spot Foto; Kuliner,Rp 20.000 (Per Orang),4.38,0.8143,,66.33,1.0,Destinasi 'Wisata Kampoeng Ciherang' sangat cocok dengan keinginan Anda mencari 'wisata ada mushola dan parkir Bandung' (relevansi deskripsi 39.9%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 81.4%. Destinasi ini terpercaya dengan rating 
WQ09,wisata dekat alun-alun Bandung,punya jarak/konteks alun-alun,1,True,Alun-Alun Kota Bandung,Taman Kota,Santai/Healing; Gratis; Spot Foto; Keluarga; Alam; Ramah Anak; Kuliner; Belanja,Gratis,4.22,0.6955,0.02,79.25,1.0,Destinasi 'Alun-Alun Kota Bandung' sangat cocok dengan keinginan Anda mencari 'wisata dekat alun-alun Bandung' (relevansi deskripsi 36.5%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 69.5%. Destinasi ini terpercaya dengan rating Google 4.
WQ09,wisata dekat alun-alun Bandung,punya jarak/konteks alun-alun,2,True,Taman Dewi Sartika,Taman Kota,Santai/Healing; Gratis; Keluarga; Ramah Anak; Outdoor; Alam,Gratis,4.67,0.8614,0.97,77.22,1.0,Destinasi 'Taman Dewi Sartika' sangat cocok dengan keinginan Anda mencari 'wisata dekat alun-alun Bandung' (relevansi deskripsi 23.8%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 86.1%. Destinasi ini terpercaya dengan rating Google 4.67/5
WQ09,wisata dekat alun-alun Bandung,punya jarak/konteks alun-alun,3,True,Masjid Agung Bandung,Tempat Ibadah,Religi; Santai/Healing; Gratis; Budaya; Alam; Ramah Anak; Spot Foto; Kuliner,Gratis,4.09,0.5955,0.1,76.04,1.0,Destinasi 'Masjid Agung Bandung' sangat cocok dengan keinginan Anda mencari 'wisata dekat alun-alun Bandung' (relevansi deskripsi 33.0%). Ulasan pengunjung didominasi respon positif dengan skor sentimen terkalibrasi 59.6%. Destinasi ini terpercaya dengan rating Google 4.09/5.0 da
WQ09,wisata dekat alun-alun Bandung,punya jarak/konteks alun-alun,4,True,Gedung Merdeka,Tempat Sejarah,Sejarah; Edukasi; Indoor; Budaya; Gratis; Alam; Spot Foto,Gratis,4.75,0.897,0.25,75.7,1.0,Cocok secara kontekstual dengan preferensi pencarian Anda. Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 89.7%. Destinasi ini terpercaya dengan rating Google 4.75/5.0 dari total 126 ulasan. Jaraknya sekitar 0.2 km dari lokasi Anda.
WQ09,wisata dekat alun-alun Bandung,punya jarak/konteks alun-alun,5,True,Museum Konferensi Asia Afrika,Tempat Belajar,Edukasi; Indoor; Gratis; Sejarah; Alam; Ramah Anak; Spot Foto; Santai/Healing,Gratis,4.85,0.9315,0.29,75.54,1.0,Cocok secara kontekstual dengan preferensi pencarian Anda. Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 93.2%. Destinasi ini terpercaya dengan rating Google 4.85/5.0 dari total 200 ulasan. Jaraknya sekitar 0.3 km dari lokasi Anda.
WQ11,wisata sejarah Bandung,sejarah/budaya,1,True,Gedung Sate,Tempat Sejarah,Sejarah; Edukasi; Indoor; Budaya; Alam; Ramah Anak; Spot Foto; Kuliner; Belanja; Santai/Healing; Petualangan,Rp 5.000 (Per Orang),4.79,0.9155,,78.43,1.0,Destinasi 'Gedung Sate' sangat cocok dengan keinginan Anda mencari 'wisata sejarah Bandung' (relevansi deskripsi 53.6%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 91.5%. Destinasi ini terpercaya dengan rating Google 4.79/5.0 dari total 2
WQ11,wisata sejarah Bandung,sejarah/budaya,2,True,Gedung Merdeka,Tempat Sejarah,Sejarah; Edukasi; Indoor; Budaya; Gratis; Alam; Spot Foto,Gratis,4.75,0.897,,78.17,1.0,Destinasi 'Gedung Merdeka' sangat cocok dengan keinginan Anda mencari 'wisata sejarah Bandung' (relevansi deskripsi 57.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 89.7%. Destinasi ini terpercaya dengan rating Google 4.75/5.0 dari tota
WQ11,wisata sejarah Bandung,sejarah/budaya,3,True,Taman Sejarah Bandung,Tempat Sejarah,Edukasi; Sejarah; Budaya; Santai/Healing; Ramah Anak; Alam,Rp 30.000 (Per Orang),4.42,0.8336,,74.98,1.0,Destinasi 'Taman Sejarah Bandung' sangat cocok dengan keinginan Anda mencari 'wisata sejarah Bandung' (relevansi deskripsi 60.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 83.4%. Destinasi ini terpercaya dengan rating Google 4.42/5.0 da
WQ11,wisata sejarah Bandung,sejarah/budaya,4,True,Gedung Indonesia Menggugat,Tempat Sejarah,Sejarah; Edukasi; Indoor; Budaya; Gratis; Spot Foto; Kuliner,Gratis,4.75,0.8208,,72.73,1.0,Destinasi 'Gedung Indonesia Menggugat' sangat cocok dengan keinginan Anda mencari 'wisata sejarah Bandung' (relevansi deskripsi 54.5%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 82.1%. Destinasi ini terpercaya dengan rating Google 4.75/5
WQ11,wisata sejarah Bandung,sejarah/budaya,5,True,Monumen Perjuangan Rakyat Jawa Barat,Tempat Sejarah,Sejarah; Edukasi; Budaya; Indoor; Alam; Ramah Anak,Rp 2.000 - Rp 3.000 (Per Orang),4.62,0.7909,,67.78,1.0,Destinasi 'Monumen Perjuangan Rakyat Jawa Barat' sangat cocok dengan keinginan Anda mencari 'wisata sejarah Bandung' (relevansi deskripsi 51.7%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 79.1%. Destinasi ini terpercaya dengan rating Goo
WQ12,wisata religi Bandung,religi/masjid/makam,1,True,Vihara Satya Budhi,Tempat Ibadah,Religi; Santai/Healing; Gratis; Budaya; Sejarah; Alam; Edukasi,Gratis,4.72,0.8551,,78.03,1.0,Destinasi 'Vihara Satya Budhi' sangat cocok dengan keinginan Anda mencari 'wisata religi Bandung' (relevansi deskripsi 63.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 85.5%. Destinasi ini terpercaya dengan rating Google 4.72/5.0 dari t
